model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Random Forest ,gini,23,7,sqrt,0.0,210,0,0,0,0,0.0,0,0,0.993,0.993,0.964,0.964,1.31386,6,2,25976,25,3037688,3172.1215,1848.79686
Random Forest ,gini,20,5,log2,0.0,150,0,0,0,0,0.0,0,0,0.996,0.996,0.963,0.963,0.92884,6,2,25976,25,3037688,3172.1215,1848.79686
Random Forest ,gini,24,1,sqrt,0.0,90,0,0,0,0,0.0,0,0,1.0,1.0,0.962,0.962,0.686,6,2,25976,25,3037688,3172.1215,1848.79686
Random Forest ,gini,16,1,log2,0.0,70,0,0,0,0,0.0,0,0,0.995,0.995,0.961,0.961,0.444,6,2,25976,25,3037688,3172.1215,1848.79686
Random Forest ,gini,15,1,log2,0.0,50,0,0,0,0,0.0,0,0,0.992,0.992,0.96,0.96,0.34996,6,2,25976,25,3037688,3172.1215,1848.79686
Random Forest ,gini,18,11,log2,0.0,50,0,0,0,0,0.0,0,0,0.982,0.982,0.959,0.959,0.32898,6,2,25976,25,3037688,3172.1215,1848.79686
Random Forest ,gini,14,5,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.984,0.984,0.958,0.958,0.359,6,2,25976,25,3037688,3172.1215,1848.79686
Random Forest ,gini,13,13,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.969,0.969,0.956,0.956,0.33101,6,2,25976,25,3037688,3172.1215,1848.79686
Random Forest ,gini,13,7,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.977,0.977,0.955,0.955,0.344,6,2,25976,25,3037688,3172.1215,1848.79686
Random Forest ,gini,12,11,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.966,0.966,0.954,0.954,0.31706,6,2,25976,25,3037688,3172.1215,1848.79686
Random Forest ,gini,11,5,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.965,0.964,0.953,0.953,0.343,6,2,25976,25,3037688,3172.1215,1848.79686
Random Forest ,gini,10,17,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.954,0.954,0.952,0.952,0.297,6,2,25976,25,3037688,3172.1215,1848.79686
Decision Tree,entropy,13,12,,0.0,0,0,0,0,0,0.0,0,0,0.969,0.969,0.952,0.952,0.11665,6,2,25976,25,3037688,3172.1215,1848.79686
Random Forest ,gini,10,5,log2,0.0,50,0,0,0,0,0.0,0,0,0.958,0.958,0.951,0.951,0.299,6,2,25976,25,3037688,3172.1215,1848.79686
Decision Tree,entropy,15,2,,0.0,0,0,0,0,0,0.0,0,0,0.983,0.983,0.951,0.951,0.12965,6,2,25976,25,3037688,3172.1215,1848.79686
Random Forest ,gini,10,13,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.955,0.955,0.95,0.95,0.31,6,2,25976,25,3037688,3172.1215,1848.79686
Decision Tree,entropy,15,19,,0.0,0,0,0,0,0,0.0,0,0,0.97,0.97,0.95,0.95,0.12566,6,2,25976,25,3037688,3172.1215,1848.79686
Decision Tree,entropy,12,8,,0.0,0,0,0,0,0,0.0,0,0,0.963,0.963,0.949,0.949,0.11968,6,2,25976,25,3037688,3172.1215,1848.79686
SVC,0,0,0,0,0.0,0,0,0,0,0,0.7,0,poly,0.945,0.945,0.949,0.948,6.17303,6,2,25976,25,3037688,3172.1215,1848.79686
Decision Tree,entropy,12,15,,0.0,0,0,0,0,0,0.0,0,0,0.961,0.961,0.948,0.948,0.11769,6,2,25976,25,3037688,3172.1215,1848.79686
Random Forest ,gini,10,11,log2,0.0,50,0,0,0,0,0.0,0,0,0.956,0.956,0.947,0.947,0.308,6,2,25976,25,3037688,3172.1215,1848.79686
SVC,0,0,0,0,0.0,0,0,0,0,0,1.5,0,rbf,0.952,0.952,0.947,0.947,5.13027,6,2,25976,25,3037688,3172.1215,1848.79686
SVC,0,0,0,0,0.0,0,0,0,0,0,1.3,0,poly,0.951,0.951,0.946,0.946,6.57042,6,2,25976,25,3037688,3172.1215,1848.79686
Random Forest ,gini,10,1,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.959,0.959,0.946,0.946,0.28998,6,2,25976,25,3037688,3172.1215,1848.79686
Decision Tree,gini,10,9,,0.0,0,0,0,0,0,0.0,0,0,0.96,0.96,0.946,0.946,0.10073,6,2,25976,25,3037688,3172.1215,1848.79686
SVC,0,0,0,0,0.0,0,0,0,0,0,0.8,0,rbf,0.946,0.946,0.945,0.945,5.70174,6,2,25976,25,3037688,3172.1215,1848.79686
Decision Tree,gini,9,1,,0.0,0,0,0,0,0,0.0,0,0,0.949,0.949,0.944,0.944,0.08976,6,2,25976,25,3037688,3172.1215,1848.79686
Random Forest ,gini,9,7,log2,0.0,50,0,0,0,0,0.0,0,0,0.95,0.95,0.943,0.943,0.283,6,2,25976,25,3037688,3172.1215,1848.79686
Decision Tree,gini,8,2,,0.0,0,0,0,0,0,0.0,0,0,0.943,0.943,0.943,0.943,0.08278,6,2,25976,25,3037688,3172.1215,1848.79686
Random Forest ,gini,8,13,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.942,0.942,0.942,0.942,0.255,6,2,25976,25,3037688,3172.1215,1848.79686
Decision Tree,gini,8,4,,0.0,0,0,0,0,0,0.0,0,0,0.944,0.944,0.941,0.941,0.08374,6,2,25976,25,3037688,3172.1215,1848.79686
Random Forest ,gini,7,17,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.938,0.938,0.94,0.94,0.231,6,2,25976,25,3037688,3172.1215,1848.79686
SVC,0,0,0,0,0.0,0,0,0,0,0,0.9,0,rbf,0.948,0.948,0.94,0.94,4.87795,6,2,25976,25,3037688,3172.1215,1848.79686
Decision Tree,gini,8,3,,0.0,0,0,0,0,0,0.0,0,0,0.945,0.945,0.939,0.939,0.08278,6,2,25976,25,3037688,3172.1215,1848.79686
Random Forest ,gini,7,9,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.939,0.939,0.939,0.939,0.235,6,2,25976,25,3037688,3172.1215,1848.79686
SVC,0,0,0,0,0.0,0,0,0,0,0,0.3,0,poly,0.94,0.94,0.938,0.938,4.7104,6,2,25976,25,3037688,3172.1215,1848.79686
Random Forest ,gini,8,1,log2,0.0,50,0,0,0,0,0.0,0,0,0.947,0.947,0.938,0.938,0.269,6,2,25976,25,3037688,3172.1215,1848.79686
Decision Tree,gini,8,12,,0.0,0,0,0,0,0,0.0,0,0,0.946,0.946,0.937,0.937,0.08374,6,2,25976,25,3037688,3172.1215,1848.79686
Random Forest ,gini,7,13,log2,0.0,50,0,0,0,0,0.0,0,0,0.937,0.937,0.937,0.937,0.236,6,2,25976,25,3037688,3172.1215,1848.79686
SVC,0,0,0,0,0.0,0,0,0,0,0,0.8,0,poly,0.949,0.949,0.937,0.937,5.64689,6,2,25976,25,3037688,3172.1215,1848.79686
SVC,0,0,0,0,0.0,0,0,0,0,0,0.3,0,rbf,0.935,0.935,0.936,0.936,5.70174,6,2,25976,25,3037688,3172.1215,1848.79686
Random Forest ,gini,7,7,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.936,0.936,0.935,0.935,0.224,6,2,25976,25,3037688,3172.1215,1848.79686
SVC,0,0,0,0,0.0,0,0,0,0,0,0.4,0,poly,0.943,0.943,0.934,0.934,5.01857,6,2,25976,25,3037688,3172.1215,1848.79686
Decision Tree,gini,7,1,,0.0,0,0,0,0,0,0.0,0,0,0.935,0.935,0.933,0.933,0.0738,6,2,25976,25,3037688,3172.1215,1848.79686
Decision Tree,gini,12,19,auto,0.0,0,0,0,0,0,0.0,0,0,0.952,0.952,0.932,0.932,0.02194,6,2,25976,25,3037688,3172.1215,1848.79686
Random Forest ,gini,6,3,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.933,0.933,0.932,0.932,0.216,6,2,25976,25,3037688,3172.1215,1848.79686
SVC,0,0,0,0,0.0,0,0,0,0,0,0.2,0,poly,0.936,0.935,0.932,0.932,4.44511,6,2,25976,25,3037688,3172.1215,1848.79686
K Nearest Neighbors,0,0,0,0,0.0,0,9,manhattan,0,0,0.0,0,0,0.939,0.939,0.932,0.932,0.00302,6,2,25976,25,3037688,3172.1215,1848.79686
SVC,0,0,0,0,0.0,0,0,0,0,0,0.1,0,poly,0.931,0.931,0.931,0.931,4.70342,6,2,25976,25,3037688,3172.1215,1848.79686
Decision Tree,entropy,7,2,,0.0,0,0,0,0,0,0.0,0,0,0.932,0.932,0.931,0.931,0.08976,6,2,25976,25,3037688,3172.1215,1848.79686
Random Forest ,gini,6,13,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.931,0.931,0.93,0.93,0.23399,6,2,25976,25,3037688,3172.1215,1848.79686
Decision Tree,gini,7,5,,0.0,0,0,0,0,0,0.0,0,0,0.937,0.937,0.93,0.93,0.07379,6,2,25976,25,3037688,3172.1215,1848.79686
Random Forest ,gini,5,5,log2,0.0,50,0,0,0,0,0.0,0,0,0.929,0.929,0.929,0.929,0.199,6,2,25976,25,3037688,3172.1215,1848.79686
