model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Random Forest ,gini,23,9,log2,0.0,70,0,0,0,0,0.0,0,0,0.986,0.986,0.979,0.979,0.24399,19,3,2126,22,230842,43.75947,9.94359
Random Forest ,gini,18,9,log2,0.0,50,0,0,0,0,0.0,0,0,0.981,0.981,0.977,0.977,0.105,19,3,2126,22,230842,43.75947,9.94359
Random Forest ,gini,22,7,log2,0.0,290,0,0,0,0,0.0,0,0,0.99,0.99,0.974,0.974,0.614,19,3,2126,22,230842,43.75947,9.94359
Random Forest ,gini,18,5,log2,0.0,70,0,0,0,0,0.0,0,0,0.994,0.994,0.972,0.971,0.165,19,3,2126,22,230842,43.75947,9.94359
Decision Tree,entropy,12,2,,0.0,0,0,0,0,0,0.0,0,0,0.995,0.995,0.969,0.97,0.00898,19,3,2126,22,230842,43.75947,9.94359
Random Forest ,gini,9,5,log2,0.0,70,0,0,0,0,0.0,0,0,0.983,0.983,0.969,0.968,0.20096,19,3,2126,22,230842,43.75947,9.94359
Decision Tree,entropy,39,12,,0.0,0,0,0,0,0,0.0,0,0,0.973,0.973,0.967,0.967,0.00897,19,3,2126,22,230842,43.75947,9.94359
Random Forest ,gini,14,9,log2,0.0,50,0,0,0,0,0.0,0,0,0.982,0.982,0.967,0.967,0.111,19,3,2126,22,230842,43.75947,9.94359
Random Forest ,gini,14,5,log2,0.0,50,0,0,0,0,0.0,0,0,0.992,0.992,0.965,0.965,0.18094,19,3,2126,22,230842,43.75947,9.94359
Random Forest ,gini,8,17,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.962,0.961,0.962,0.961,0.181,19,3,2126,22,230842,43.75947,9.94359
Decision Tree,entropy,18,20,,0.0,0,0,0,0,0,0.0,0,0,0.971,0.97,0.96,0.96,0.00798,19,3,2126,22,230842,43.75947,9.94359
Decision Tree,entropy,24,14,,0.0,0,0,0,0,0,0.0,0,0,0.977,0.977,0.958,0.958,0.00898,19,3,2126,22,230842,43.75947,9.94359
Random Forest ,gini,10,5,log2,0.0,50,0,0,0,0,0.0,0,0,0.985,0.985,0.958,0.956,0.112,19,3,2126,22,230842,43.75947,9.94359
Decision Tree,entropy,14,14,,0.0,0,0,0,0,0,0.0,0,0,0.976,0.976,0.955,0.956,0.01001,19,3,2126,22,230842,43.75947,9.94359
Random Forest ,gini,13,17,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.975,0.974,0.955,0.954,0.10699,19,3,2126,22,230842,43.75947,9.94359
Random Forest ,gini,10,5,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.984,0.983,0.953,0.952,0.11,19,3,2126,22,230842,43.75947,9.94359
Decision Tree,entropy,6,14,,0.0,0,0,0,0,0,0.0,0,0,0.942,0.942,0.953,0.953,0.00799,19,3,2126,22,230842,43.75947,9.94359
Random Forest ,gini,9,9,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.976,0.975,0.951,0.95,0.114,19,3,2126,22,230842,43.75947,9.94359
Random Forest ,gini,8,9,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.969,0.969,0.948,0.946,0.117,19,3,2126,22,230842,43.75947,9.94359
Decision Tree,entropy,7,11,,0.0,0,0,0,0,0,0.0,0,0,0.958,0.956,0.948,0.948,0.00997,19,3,2126,22,230842,43.75947,9.94359
Decision Tree,entropy,6,9,,0.0,0,0,0,0,0,0.0,0,0,0.95,0.948,0.946,0.944,0.00798,19,3,2126,22,230842,43.75947,9.94359
Random Forest ,gini,8,5,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.974,0.973,0.946,0.944,0.111,19,3,2126,22,230842,43.75947,9.94359
Random Forest ,gini,6,1,log2,0.0,50,0,0,0,0,0.0,0,0,0.954,0.952,0.944,0.941,0.19196,19,3,2126,22,230842,43.75947,9.94359
Decision Tree,gini,5,3,,0.0,0,0,0,0,0,0.0,0,0,0.941,0.938,0.944,0.941,0.00599,19,3,2126,22,230842,43.75947,9.94359
Decision Tree,gini,8,18,,0.0,0,0,0,0,0,0.0,0,0,0.959,0.958,0.941,0.94,0.00798,19,3,2126,22,230842,43.75947,9.94359
Random Forest ,gini,6,15,log2,0.0,50,0,0,0,0,0.0,0,0,0.939,0.936,0.941,0.938,0.157,19,3,2126,22,230842,43.75947,9.94359
Decision Tree,gini,5,8,,0.0,0,0,0,0,0,0.0,0,0,0.937,0.935,0.939,0.937,0.00602,19,3,2126,22,230842,43.75947,9.94359
Random Forest ,gini,7,7,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.967,0.966,0.939,0.938,0.137,19,3,2126,22,230842,43.75947,9.94359
Random Forest ,gini,6,3,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.948,0.946,0.937,0.934,0.123,19,3,2126,22,230842,43.75947,9.94359
Decision Tree,gini,5,4,,0.0,0,0,0,0,0,0.0,0,0,0.939,0.937,0.937,0.934,0.00598,19,3,2126,22,230842,43.75947,9.94359
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,1.8,800,0,0.89,0.887,0.937,0.936,0.06248,19,3,2126,23,230842,43.75947,9.94359
Random Forest ,gini,5,7,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.93,0.926,0.934,0.93,0.14299,19,3,2126,22,230842,43.75947,9.94359
SVC,0,0,0,0,0.0,0,0,0,0,0,0.9,0,poly,0.931,0.93,0.934,0.931,0.0359,19,3,2126,22,230842,43.75947,9.94359
Logistic Regression,0,0,0,0,0.0,0,0,0,sag,l2,1.9,150,0,0.895,0.891,0.934,0.933,0.01562,19,3,2126,23,230842,43.75947,9.94359
Logistic Regression,0,0,0,0,0.0,0,0,0,liblinear,l1,1.0,1000,0,0.886,0.882,0.932,0.929,0.14059,19,3,2126,23,230842,43.75947,9.94359
Decision Tree,gini,4,3,,0.0,0,0,0,0,0,0.0,0,0,0.922,0.921,0.932,0.932,0.00499,19,3,2126,22,230842,43.75947,9.94359
Random Forest ,gini,6,9,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.949,0.947,0.93,0.928,0.139,19,3,2126,22,230842,43.75947,9.94359
Random Forest ,gini,5,11,log2,0.0,50,0,0,0,0,0.0,0,0,0.923,0.918,0.927,0.923,0.132,19,3,2126,22,230842,43.75947,9.94359
K Nearest Neighbors,0,0,0,0,0.0,0,6,euclidean,0,0,0.0,0,0,0.915,0.909,0.927,0.922,0.00199,19,3,2126,22,230842,43.75947,9.94359
SVC,0,0,0,0,0.0,0,0,0,0,0,1.3,0,poly,0.938,0.938,0.927,0.926,0.0369,19,3,2126,22,230842,43.75947,9.94359
Decision Tree,gini,5,5,,0.0,0,0,0,0,0,0.0,0,0,0.945,0.943,0.927,0.924,0.00602,19,3,2126,22,230842,43.75947,9.94359
Random Forest ,gini,4,1,log2,0.0,50,0,0,0,0,0.0,0,0,0.913,0.906,0.925,0.921,0.11396,19,3,2126,22,230842,43.75947,9.94359
Decision Tree,entropy,3,18,,0.0,0,0,0,0,0,0.0,0,0,0.902,0.899,0.925,0.923,0.00399,19,3,2126,22,230842,43.75947,9.94359
Decision Tree,gini,4,2,,0.0,0,0,0,0,0,0.0,0,0,0.923,0.92,0.923,0.919,0.00498,19,3,2126,22,230842,43.75947,9.94359
SVC,0,0,0,0,0.0,0,0,0,0,0,0.3,0,poly,0.917,0.916,0.923,0.919,0.03191,19,3,2126,22,230842,43.75947,9.94359
K Nearest Neighbors,0,0,0,0,0.0,0,6,manhattan,0,0,0.0,0,0,0.924,0.921,0.923,0.921,0.001,19,3,2126,22,230842,43.75947,9.94359
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.5,900,0,0.881,0.873,0.923,0.92,0.06249,19,3,2126,23,230842,43.75947,9.94359
Decision Tree,gini,4,1,,0.0,0,0,0,0,0,0.0,0,0,0.929,0.928,0.92,0.917,0.00499,19,3,2126,22,230842,43.75947,9.94359
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,1.1,1900,0,0.887,0.883,0.92,0.919,0.04683,19,3,2126,23,230842,43.75947,9.94359
SVC,0,0,0,0,0.0,0,0,0,0,0,0.4,0,poly,0.926,0.925,0.92,0.918,0.02793,19,3,2126,22,230842,43.75947,9.94359
Random Forest ,gini,5,9,log2,0.0,50,0,0,0,0,0.0,0,0,0.932,0.927,0.918,0.912,0.104,19,3,2126,22,230842,43.75947,9.94359
Decision Tree,entropy,3,7,,0.0,0,0,0,0,0,0.0,0,0,0.904,0.902,0.918,0.913,0.00499,19,3,2126,22,230842,43.75947,9.94359
