model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Gradient Boosting,0,3,0,0,0.1,10,0,0,0,0,0.0,0,0,1.0,1.0,0.9,0.901,0.02996,2,2,32561,15,3844217,12739.90078,7559.26862
Random Forest,entropy,20,9,sqrt,0.0,270,0,0,0,0,0.0,0,0,0.917,0.914,0.88,0.876,1.45112,2,2,32561,15,3844217,12739.90078,7559.26862
Random Forest,gini,14,5,sqrt,0.0,290,0,0,0,0,0.0,0,0,0.893,0.889,0.879,0.873,1.20079,2,2,32561,15,3844217,12739.90078,7559.26862
Random Forest,gini,21,11,log2,0.0,130,0,0,0,0,0.0,0,0,0.918,0.915,0.878,0.874,0.62533,2,2,32561,15,3844217,12739.90078,7559.26862
Random Forest,gini,23,11,sqrt,0.0,70,0,0,0,0,0.0,0,0,0.924,0.921,0.877,0.872,0.35306,2,2,32561,15,3844217,12739.90078,7559.26862
Random Forest,gini,13,17,log2,0.0,150,0,0,0,0,0.0,0,0,0.88,0.874,0.876,0.87,0.62433,2,2,32561,15,3844217,12739.90078,7559.26862
Random Forest,gini,16,15,log2,0.0,70,0,0,0,0,0.0,0,0,0.895,0.89,0.874,0.869,0.31516,2,2,32561,15,3844217,12739.90078,7559.26862
Random Forest,gini,17,1,log2,0.0,50,0,0,0,0,0.0,0,0,0.929,0.927,0.873,0.867,0.24834,2,2,32561,15,3844217,12739.90078,7559.26862
Random Forest,gini,15,3,log2,0.0,50,0,0,0,0,0.0,0,0,0.905,0.901,0.872,0.865,0.23537,2,2,32561,15,3844217,12739.90078,7559.26862
Random Forest,gini,13,9,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.881,0.874,0.871,0.865,0.21941,2,2,32561,15,3844217,12739.90078,7559.26862
Random Forest,gini,13,3,log2,0.0,50,0,0,0,0,0.0,0,0,0.891,0.886,0.87,0.864,0.22739,2,2,32561,15,3844217,12739.90078,7559.26862
Random Forest,gini,7,17,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.854,0.842,0.869,0.858,0.17354,2,2,32561,15,3844217,12739.90078,7559.26862
Random Forest,gini,12,15,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.878,0.872,0.867,0.86,0.20545,2,2,32561,15,3844217,12739.90078,7559.26862
Random Forest,gini,12,15,log2,0.0,50,0,0,0,0,0.0,0,0,0.876,0.87,0.866,0.859,0.21742,2,2,32561,15,3844217,12739.90078,7559.26862
Random Forest,gini,10,17,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.864,0.854,0.865,0.855,0.22241,2,2,32561,15,3844217,12739.90078,7559.26862
Decision Tree,gini,10,17,,0.0,0,0,0,0,0,0.0,0,0,0.868,0.863,0.864,0.858,0.06283,2,2,32561,15,3844217,12739.90078,7559.26862
Random Forest,gini,10,7,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.868,0.859,0.864,0.857,0.20445,2,2,32561,15,3844217,12739.90078,7559.26862
Decision Tree,gini,8,14,,0.0,0,0,0,0,0,0.0,0,0,0.86,0.85,0.863,0.854,0.05186,2,2,32561,15,3844217,12739.90078,7559.26862
Random Forest,gini,8,3,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.858,0.847,0.862,0.851,0.17453,2,2,32561,15,3844217,12739.90078,7559.26862
Decision Tree,entropy,5,7,,0.0,0,0,0,0,0,0.0,0,0,0.845,0.832,0.861,0.85,0.03989,2,2,32561,15,3844217,12739.90078,7559.26862
Random Forest,gini,9,13,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.863,0.854,0.861,0.851,0.18451,2,2,32561,15,3844217,12739.90078,7559.26862
Random Forest,gini,7,1,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.857,0.846,0.86,0.85,0.15957,2,2,32561,15,3844217,12739.90078,7559.26862
Decision Tree,gini,6,2,,0.0,0,0,0,0,0,0.0,0,0,0.855,0.844,0.86,0.85,0.04089,2,2,32561,15,3844217,12739.90078,7559.26862
Decision Tree,gini,7,5,,0.0,0,0,0,0,0,0.0,0,0,0.859,0.847,0.858,0.847,0.04787,2,2,32561,15,3844217,12739.90078,7559.26862
Random Forest,gini,6,7,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.855,0.843,0.857,0.845,0.15359,2,2,32561,15,3844217,12739.90078,7559.26862
Decision Tree,entropy,5,6,log2,0.0,0,0,0,0,0,0.0,0,0,0.848,0.839,0.857,0.849,0.01098,2,2,32561,15,3844217,12739.90078,7559.26862
