model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Gradient Boosting,0,3,0,0,0.1,10,0,0,0,0,0.0,0,0,1.0,1.0,0.9,0.899,0.02998,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,entropy,20,7,log2,0.0,130,0,0,0,0,0.0,0,0,0.966,0.965,0.886,0.877,0.574,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,gini,21,9,sqrt,0.0,290,0,0,0,0,0.0,0,0,0.943,0.94,0.884,0.872,1.06001,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,gini,12,19,log2,0.0,70,0,0,0,0,0.0,0,0,0.894,0.883,0.883,0.869,0.281,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,gini,23,9,sqrt,0.0,110,0,0,0,0,0.0,0,0,0.945,0.943,0.882,0.869,0.427,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,entropy,14,7,log2,0.0,270,0,0,0,0,0.0,0,0,0.929,0.924,0.881,0.869,1.288,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,gini,10,3,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.89,0.876,0.88,0.868,0.18899,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,gini,14,15,sqrt,0.0,130,0,0,0,0,0.0,0,0,0.906,0.898,0.879,0.865,0.531,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,gini,16,13,log2,0.0,50,0,0,0,0,0.0,0,0,0.92,0.915,0.878,0.865,0.19,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,gini,13,17,log2,0.0,110,0,0,0,0,0.0,0,0,0.899,0.889,0.877,0.863,0.40694,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,gini,11,13,log2,0.0,70,0,0,0,0,0.0,0,0,0.893,0.882,0.876,0.863,0.26,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,gini,8,1,sqrt,0.0,70,0,0,0,0,0.0,0,0,0.871,0.854,0.875,0.858,0.255,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,gini,14,7,log2,0.0,50,0,0,0,0,0.0,0,0,0.935,0.931,0.874,0.86,0.22,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,gini,17,5,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.97,0.969,0.873,0.862,0.254,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,gini,12,15,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.897,0.887,0.872,0.858,0.216,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,gini,15,9,log2,0.0,70,0,0,0,0,0.0,0,0,0.927,0.922,0.871,0.858,0.289,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,gini,7,5,log2,0.0,50,0,0,0,0,0.0,0,0,0.865,0.845,0.868,0.85,0.232,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,gini,8,17,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.87,0.853,0.867,0.849,0.18101,13,2,10000,12,561600,1322351.284,15996.44858
Decision Tree,gini,5,9,,0.0,0,0,0,0,0,0.0,0,0,0.854,0.839,0.867,0.853,0.01796,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,gini,5,9,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.853,0.826,0.866,0.841,0.182,13,2,10000,12,561600,1322351.284,15996.44858
Decision Tree,gini,6,9,log2,0.0,0,0,0,0,0,0.0,0,0,0.856,0.835,0.866,0.845,0.00598,13,2,10000,12,561600,1322351.284,15996.44858
Decision Tree,gini,5,15,,0.0,0,0,0,0,0,0.0,0,0,0.853,0.836,0.864,0.851,0.01595,13,2,10000,12,561600,1322351.284,15996.44858
SVC,0,0,0,0,0.0,0,0,0,0,0,0.4,0,poly,0.845,0.815,0.864,0.838,1.35479,13,2,556920,12,561600,1322351.284,15996.44858
Random Forest ,gini,9,11,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.883,0.867,0.863,0.844,0.197,13,2,10000,12,561600,1322351.284,15996.44858
Decision Tree,entropy,5,2,,0.0,0,0,0,0,0,0.0,0,0,0.855,0.84,0.862,0.849,0.0229,13,2,10000,12,561600,1322351.284,15996.44858
SVC,0,0,0,0,0.0,0,0,0,0,0,1.3,0,rbf,0.856,0.831,0.862,0.837,1.36435,13,2,556920,12,561600,1322351.284,15996.44858
Random Forest ,gini,6,9,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.862,0.842,0.861,0.839,0.211,13,2,10000,12,561600,1322351.284,15996.44858
Decision Tree,gini,6,17,,0.0,0,0,0,0,0,0.0,0,0,0.862,0.841,0.861,0.839,0.01895,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,gini,5,3,log2,0.0,50,0,0,0,0,0.0,0,0,0.86,0.837,0.86,0.839,0.155,13,2,10000,12,561600,1322351.284,15996.44858
Decision Tree,entropy,3,7,sqrt,0.0,0,0,0,0,0,0.0,0,0,0.843,0.828,0.859,0.843,0.00498,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,gini,7,9,log2,0.0,50,0,0,0,0,0.0,0,0,0.868,0.85,0.859,0.838,0.235,13,2,10000,12,561600,1322351.284,15996.44858
SVC,0,0,0,0,0.0,0,0,0,0,0,0.6,0,poly,0.85,0.823,0.858,0.831,1.45116,13,2,556920,12,561600,1322351.284,15996.44858
Random Forest ,gini,5,1,log2,0.0,50,0,0,0,0,0.0,0,0,0.859,0.836,0.858,0.836,0.148,13,2,10000,12,561600,1322351.284,15996.44858
Decision Tree,gini,3,14,,0.0,0,0,0,0,0,0.0,0,0,0.837,0.801,0.858,0.83,0.01197,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,gini,4,17,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.855,0.827,0.856,0.828,0.17,13,2,10000,12,561600,1322351.284,15996.44858
SVC,0,0,0,0,0.0,0,0,0,0,0,1.7,0,rbf,0.858,0.833,0.856,0.833,1.2562,13,2,556920,12,561600,1322351.284,15996.44858
SVC,0,0,0,0,0.0,0,0,0,0,0,1.1,0,rbf,0.855,0.829,0.855,0.829,1.30351,13,2,556920,12,561600,1322351.284,15996.44858
Decision Tree,gini,4,8,,0.0,0,0,0,0,0,0.0,0,0,0.85,0.832,0.855,0.837,0.01496,13,2,10000,12,561600,1322351.284,15996.44858
Decision Tree,gini,3,3,,0.0,0,0,0,0,0,0.0,0,0,0.836,0.801,0.854,0.823,0.01097,13,2,10000,12,561600,1322351.284,15996.44858
Decision Tree,entropy,6,13,,0.0,0,0,0,0,0,0.0,0,0,0.861,0.842,0.853,0.833,0.02992,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,gini,18,1,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.997,0.997,0.853,0.834,0.209,13,2,10000,12,561600,1322351.284,15996.44858
SVC,0,0,0,0,0.0,0,0,0,0,0,0.7,0,rbf,0.843,0.807,0.853,0.819,1.41083,13,2,556920,12,561600,1322351.284,15996.44858
SVC,0,0,0,0,0.0,0,0,0,0,0,0.5,0,poly,0.851,0.823,0.852,0.827,1.44718,13,2,556920,12,561600,1322351.284,15996.44858
Random Forest ,gini,5,1,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.858,0.832,0.852,0.824,0.15001,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,gini,8,5,log2,0.0,50,0,0,0,0,0.0,0,0,0.874,0.856,0.851,0.831,0.18001,13,2,10000,12,561600,1322351.284,15996.44858
Decision Tree,gini,4,2,log2,0.0,0,0,0,0,0,0.0,0,0,0.842,0.82,0.851,0.832,0.00599,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,gini,4,7,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.849,0.819,0.85,0.821,0.155,13,2,10000,12,561600,1322351.284,15996.44858
SVC,0,0,0,0,0.0,0,0,0,0,0,1.1,0,poly,0.853,0.827,0.85,0.824,1.81315,13,2,556920,12,561600,1322351.284,15996.44858
Random Forest ,gini,10,15,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.886,0.872,0.849,0.831,0.223,13,2,10000,12,561600,1322351.284,15996.44858
SVC,0,0,0,0,0.0,0,0,0,0,0,1.5,0,rbf,0.86,0.837,0.849,0.821,1.29158,13,2,556920,12,561600,1322351.284,15996.44858
Decision Tree,gini,4,14,,0.0,0,0,0,0,0,0.0,0,0,0.846,0.812,0.849,0.817,0.01496,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,gini,4,9,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.838,0.796,0.848,0.812,0.163,13,2,10000,12,561600,1322351.284,15996.44858
SVC,0,0,0,0,0.0,0,0,0,0,0,0.3,0,poly,0.848,0.818,0.848,0.815,1.27007,13,2,556920,12,561600,1322351.284,15996.44858
Decision Tree,gini,2,7,,0.0,0,0,0,0,0,0.0,0,0,0.825,0.813,0.848,0.839,0.00798,13,2,10000,12,561600,1322351.284,15996.44858
Decision Tree,gini,2,10,,0.0,0,0,0,0,0,0.0,0,0,0.839,0.822,0.847,0.831,0.00798,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,gini,6,15,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.864,0.844,0.847,0.825,0.182,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,gini,4,1,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.845,0.809,0.846,0.813,0.146,13,2,10000,12,561600,1322351.284,15996.44858
Decision Tree,gini,3,5,,0.0,0,0,0,0,0,0.0,0,0,0.838,0.801,0.846,0.81,0.01093,13,2,10000,12,561600,1322351.284,15996.44858
Decision Tree,entropy,3,10,auto,0.0,0,0,0,0,0,0.0,0,0,0.833,0.824,0.845,0.836,0.00598,13,2,10000,12,561600,1322351.284,15996.44858
Random Forest ,gini,4,11,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.832,0.787,0.844,0.803,0.14,13,2,10000,12,561600,1322351.284,15996.44858
Decision Tree,gini,2,9,,0.0,0,0,0,0,0,0.0,0,0,0.826,0.814,0.844,0.836,0.00797,13,2,10000,12,561600,1322351.284,15996.44858
SVC,0,0,0,0,0.0,0,0,0,0,0,0.7,0,poly,0.854,0.827,0.844,0.814,1.50751,13,2,556920,12,561600,1322351.284,15996.44858
Decision Tree,gini,3,11,log2,0.0,0,0,0,0,0,0.0,0,0,0.848,0.832,0.843,0.826,0.00299,13,2,10000,12,561600,1322351.284,15996.44858
