model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Decision Tree,entropy,9,3,,0.0,0,0,0,0,0,0.0,0,0,0.999,0.999,1.0,1.0,0.01596,12,4,10129,18,810257,318.15083,184.77071
Decision Tree,gini,8,13,,0.0,0,0,0,0,0,0.0,0,0,0.998,0.998,0.999,0.999,0.01695,12,4,10129,18,810257,318.15083,184.77071
Logistic Regression,0,0,0,0,0.0,0,0,0,saga,l1,1.3,750,0,0.994,0.994,0.999,0.999,4.55985,12,4,10129,19,810257,318.15083,184.77071
Random Forest ,gini,7,1,log2,0.0,50,0,0,0,0,0.0,0,0,0.999,0.999,0.999,0.999,0.14999,12,4,10129,18,810257,318.15083,184.77071
Decision Tree,entropy,5,6,,0.0,0,0,0,0,0,0.0,0,0,0.997,0.997,0.998,0.998,0.01695,12,4,10129,18,810257,318.15083,184.77071
Random Forest ,gini,6,11,log2,0.0,50,0,0,0,0,0.0,0,0,0.998,0.998,0.998,0.998,0.17197,12,4,10129,18,810257,318.15083,184.77071
Logistic Regression,0,0,0,0,0.0,0,0,0,saga,l1,1.2,1950,0,0.995,0.995,0.998,0.998,2.91031,12,4,10129,19,810257,318.15083,184.77071
Logistic Regression,0,0,0,0,0.0,0,0,0,liblinear,l1,1.4,1500,0,0.991,0.991,0.997,0.997,1.43716,12,4,10129,19,810257,318.15083,184.77071
Random Forest ,gini,4,13,log2,0.0,50,0,0,0,0,0.0,0,0,0.995,0.995,0.997,0.997,0.151,12,4,10129,18,810257,318.15083,184.77071
K Nearest Neighbors,0,0,0,0,0.0,0,5,minkowski,0,0,0.0,0,0,0.996,0.996,0.996,0.996,0.001,12,4,10129,18,810257,318.15083,184.77071
Decision Tree,gini,4,9,log2,0.0,0,0,0,0,0,0.0,0,0,0.993,0.993,0.996,0.996,0.00399,12,4,10129,18,810257,318.15083,184.77071
Random Forest ,gini,5,3,log2,0.0,50,0,0,0,0,0.0,0,0,0.996,0.996,0.996,0.996,0.16701,12,4,10129,18,810257,318.15083,184.77071
Random Forest ,gini,4,3,log2,0.0,50,0,0,0,0,0.0,0,0,0.994,0.994,0.995,0.995,0.159,12,4,10129,18,810257,318.15083,184.77071
K Nearest Neighbors,0,0,0,0,0.0,0,6,euclidean,0,0,0.0,0,0,0.994,0.994,0.995,0.995,0.002,12,4,10129,18,810257,318.15083,184.77071
Logistic Regression,0,0,0,0,0.0,0,0,0,newton-cg,l2,1.7,1500,0,0.989,0.989,0.995,0.995,0.18746,12,4,10129,19,810257,318.15083,184.77071
SVC,0,0,0,0,0.0,0,0,0,0,0,0.1,0,poly,0.994,0.994,0.995,0.995,0.07281,12,4,10129,18,810257,318.15083,184.77071
Decision Tree,gini,4,3,auto,0.0,0,0,0,0,0,0.0,0,0,0.994,0.994,0.995,0.995,0.00399,12,4,10129,18,810257,318.15083,184.77071
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,1.1,500,0,0.987,0.987,0.994,0.994,0.2187,12,4,10129,19,810257,318.15083,184.77071
Random Forest ,gini,3,1,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.993,0.993,0.994,0.994,0.14501,12,4,10129,18,810257,318.15083,184.77071
SVC,0,0,0,0,0.0,0,0,0,0,0,0.2,0,poly,0.996,0.996,0.994,0.994,0.06512,12,4,10129,18,810257,318.15083,184.77071
