model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Random Forest ,gini,8,19,log2,0.0,110,0,0,0,0,0.0,0,0,0.865,0.858,0.889,0.885,0.27641,22,2,4653,9,195247,228.01801,1.27127
Random Forest ,gini,14,5,sqrt,0.0,250,0,0,0,0,0.0,0,0,0.893,0.89,0.888,0.884,0.60885,22,2,4653,9,195247,228.01801,1.27127
Random Forest ,gini,11,1,log2,0.0,70,0,0,0,0,0.0,0,0,0.895,0.891,0.887,0.884,0.17429,22,2,4653,9,195247,228.01801,1.27127
Random Forest ,gini,22,15,log2,0.0,110,0,0,0,0,0.0,0,0,0.875,0.871,0.879,0.875,0.32921,22,2,4653,9,195247,228.01801,1.27127
Gradient Boosting,0,3,0,0,0.4,50,0,0,0,0,0.0,0,0,0.862,0.857,0.875,0.871,0.19314,22,2,4653,9,195247,228.01801,1.27127
Decision Tree,gini,7,6,,0.0,0,0,0,0,0,0.0,0,0,0.86,0.855,0.875,0.872,0.00399,22,2,4653,9,195247,228.01801,1.27127
Random Forest ,gini,10,15,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.872,0.866,0.874,0.868,0.17866,22,2,4653,9,195247,228.01801,1.27127
Random Forest ,gini,13,3,log2,0.0,50,0,0,0,0,0.0,0,0,0.904,0.901,0.872,0.868,0.15121,22,2,4653,9,195247,228.01801,1.27127
Random Forest ,gini,10,7,log2,0.0,50,0,0,0,0,0.0,0,0,0.883,0.879,0.871,0.867,0.14358,22,2,4653,9,195247,228.01801,1.27127
Decision Tree,gini,7,3,,0.0,0,0,0,0,0,0.0,0,0,0.861,0.857,0.871,0.868,0.004,22,2,4653,9,195247,228.01801,1.27127
Decision Tree,entropy,7,12,,0.0,0,0,0,0,0,0.0,0,0,0.858,0.854,0.87,0.866,0.00303,22,2,4653,9,195247,228.01801,1.27127
Random Forest ,gini,8,13,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.864,0.856,0.87,0.864,0.12569,22,2,4653,9,195247,228.01801,1.27127
Decision Tree,entropy,6,1,,0.0,0,0,0,0,0,0.0,0,0,0.851,0.847,0.869,0.865,0.00399,22,2,4653,9,195247,228.01801,1.27127
Random Forest ,gini,10,15,log2,0.0,50,0,0,0,0,0.0,0,0,0.874,0.869,0.869,0.863,0.23733,22,2,4653,9,195247,228.01801,1.27127
Decision Tree,gini,5,4,,0.0,0,0,0,0,0,0.0,0,0,0.826,0.815,0.868,0.863,0.00299,22,2,4653,9,195247,228.01801,1.27127
Gradient Boosting,0,3,0,0,0.4,150,0,0,0,0,0.0,0,0,0.873,0.868,0.868,0.862,0.45964,22,2,4653,9,195247,228.01801,1.27127
Random Forest ,gini,8,3,log2,0.0,50,0,0,0,0,0.0,0,0,0.876,0.871,0.867,0.861,0.11368,22,2,4653,9,195247,228.01801,1.27127
Decision Tree,gini,7,9,,0.0,0,0,0,0,0,0.0,0,0,0.859,0.852,0.867,0.861,0.00399,22,2,4653,9,195247,228.01801,1.27127
Gradient Boosting,0,5,0,0,0.3,30,0,0,0,0,0.0,0,0,0.875,0.87,0.867,0.863,0.12681,22,2,4653,9,195247,228.01801,1.27127
Gradient Boosting,0,5,0,0,0.2,10,0,0,0,0,0.0,0,0,0.855,0.849,0.866,0.862,0.03356,22,2,4653,9,195247,228.01801,1.27127
Random Forest ,gini,10,13,log2,0.0,50,0,0,0,0,0.0,0,0,0.879,0.875,0.866,0.861,0.18843,22,2,4653,9,195247,228.01801,1.27127
Random Forest ,gini,11,7,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.885,0.88,0.865,0.857,0.15416,22,2,4653,9,195247,228.01801,1.27127
Decision Tree,gini,6,10,,0.0,0,0,0,0,0,0.0,0,0,0.843,0.84,0.864,0.86,0.00399,22,2,4653,9,195247,228.01801,1.27127
Random Forest ,gini,7,11,log2,0.0,50,0,0,0,0,0.0,0,0,0.863,0.855,0.864,0.857,0.33454,22,2,4653,9,195247,228.01801,1.27127
Decision Tree,entropy,11,15,,0.0,0,0,0,0,0,0.0,0,0,0.875,0.871,0.863,0.857,0.00495,22,2,4653,9,195247,228.01801,1.27127
Random Forest ,gini,8,5,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.868,0.861,0.863,0.855,0.16038,22,2,4653,9,195247,228.01801,1.27127
Gradient Boosting,0,7,0,0,0.1,50,0,0,0,0,0.0,0,0,0.889,0.886,0.863,0.856,0.28381,22,2,4653,9,195247,228.01801,1.27127
Decision Tree,gini,8,9,,0.0,0,0,0,0,0,0.0,0,0,0.865,0.861,0.861,0.857,0.00399,22,2,4653,9,195247,228.01801,1.27127
Random Forest ,gini,7,3,log2,0.0,50,0,0,0,0,0.0,0,0,0.866,0.86,0.861,0.855,0.1919,22,2,4653,9,195247,228.01801,1.27127
Gradient Boosting,0,3,0,0,0.3,190,0,0,0,0,0.0,0,0,0.876,0.871,0.861,0.858,0.65823,22,2,4653,9,195247,228.01801,1.27127
Decision Tree,gini,8,4,,0.0,0,0,0,0,0,0.0,0,0,0.868,0.863,0.86,0.857,0.00403,22,2,4653,9,195247,228.01801,1.27127
Gradient Boosting,0,3,0,0,0.1,270,0,0,0,0,0.0,0,0,0.864,0.858,0.859,0.855,0.6167,22,2,4653,9,195247,228.01801,1.27127
Decision Tree,gini,7,1,,0.0,0,0,0,0,0,0.0,0,0,0.862,0.857,0.859,0.852,0.00299,22,2,4653,9,195247,228.01801,1.27127
Gradient Boosting,0,3,0,0,0.2,110,0,0,0,0,0.0,0,0,0.861,0.855,0.858,0.853,0.27688,22,2,4653,9,195247,228.01801,1.27127
Decision Tree,gini,6,14,,0.0,0,0,0,0,0,0.0,0,0,0.844,0.838,0.858,0.853,0.00399,22,2,4653,9,195247,228.01801,1.27127
Gradient Boosting,0,3,0,0,0.1,90,0,0,0,0,0.0,0,0,0.852,0.845,0.857,0.85,0.21221,22,2,4653,9,195247,228.01801,1.27127
Decision Tree,gini,8,7,,0.0,0,0,0,0,0,0.0,0,0,0.871,0.866,0.857,0.851,0.00399,22,2,4653,9,195247,228.01801,1.27127
Random Forest ,gini,7,13,log2,0.0,50,0,0,0,0,0.0,0,0,0.87,0.864,0.857,0.851,0.14972,22,2,4653,9,195247,228.01801,1.27127
Decision Tree,gini,6,6,,0.0,0,0,0,0,0,0.0,0,0,0.848,0.843,0.856,0.852,0.00299,22,2,4653,9,195247,228.01801,1.27127
Gradient Boosting,0,5,0,0,0.1,50,0,0,0,0,0.0,0,0,0.87,0.865,0.856,0.851,0.18412,22,2,4653,9,195247,228.01801,1.27127
Gradient Boosting,0,9,0,0,0.2,30,0,0,0,0,0.0,0,0,0.918,0.916,0.855,0.851,0.30567,22,2,4653,9,195247,228.01801,1.27127
Random Forest ,gini,5,9,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.834,0.822,0.855,0.847,0.13144,22,2,4653,9,195247,228.01801,1.27127
Gradient Boosting,0,5,0,0,0.1,210,0,0,0,0,0.0,0,0,0.893,0.89,0.854,0.852,0.80538,22,2,4653,9,195247,228.01801,1.27127
Decision Tree,gini,6,1,,0.0,0,0,0,0,0,0.0,0,0,0.846,0.84,0.854,0.846,0.00299,22,2,4653,9,195247,228.01801,1.27127
Random Forest ,gini,7,1,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.861,0.851,0.854,0.844,0.1657,22,2,4653,9,195247,228.01801,1.27127
Gradient Boosting,0,7,0,0,0.1,150,0,0,0,0,0.0,0,0,0.917,0.915,0.853,0.849,0.98053,22,2,4653,9,195247,228.01801,1.27127
Random Forest ,gini,11,15,log2,0.0,50,0,0,0,0,0.0,0,0,0.88,0.875,0.853,0.846,0.12895,22,2,4653,9,195247,228.01801,1.27127
Decision Tree,gini,8,20,,0.0,0,0,0,0,0,0.0,0,0,0.866,0.862,0.853,0.85,0.00402,22,2,4653,9,195247,228.01801,1.27127
Gradient Boosting,0,7,0,0,0.1,70,0,0,0,0,0.0,0,0,0.899,0.896,0.852,0.848,0.45781,22,2,4653,9,195247,228.01801,1.27127
Random Forest ,gini,4,11,log2,0.0,50,0,0,0,0,0.0,0,0,0.814,0.798,0.852,0.841,0.10352,22,2,4653,9,195247,228.01801,1.27127
Decision Tree,gini,6,3,,0.0,0,0,0,0,0,0.0,0,0,0.849,0.844,0.852,0.846,0.00299,22,2,4653,9,195247,228.01801,1.27127
Random Forest ,gini,7,19,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.854,0.845,0.851,0.841,0.16491,22,2,4653,9,195247,228.01801,1.27127
Gradient Boosting,0,7,0,0,0.1,90,0,0,0,0,0.0,0,0,0.91,0.907,0.85,0.844,0.58028,22,2,4653,9,195247,228.01801,1.27127
Random Forest ,gini,6,7,log2,0.0,50,0,0,0,0,0.0,0,0,0.862,0.855,0.85,0.839,0.12414,22,2,4653,9,195247,228.01801,1.27127
Decision Tree,entropy,7,10,,0.0,0,0,0,0,0,0.0,0,0,0.857,0.853,0.85,0.846,0.00398,22,2,4653,9,195247,228.01801,1.27127
Decision Tree,entropy,5,15,,0.0,0,0,0,0,0,0.0,0,0,0.83,0.823,0.849,0.843,0.00299,22,2,4653,9,195247,228.01801,1.27127
Random Forest ,gini,6,3,log2,0.0,50,0,0,0,0,0.0,0,0,0.853,0.844,0.849,0.84,0.11853,22,2,4653,9,195247,228.01801,1.27127
Decision Tree,entropy,5,3,,0.0,0,0,0,0,0,0.0,0,0,0.838,0.828,0.847,0.837,0.00299,22,2,4653,9,195247,228.01801,1.27127
Random Forest ,gini,6,17,log2,0.0,50,0,0,0,0,0.0,0,0,0.85,0.84,0.847,0.837,0.15058,22,2,4653,9,195247,228.01801,1.27127
Random Forest ,gini,5,7,log2,0.0,50,0,0,0,0,0.0,0,0,0.832,0.82,0.846,0.836,0.18207,22,2,4653,9,195247,228.01801,1.27127
Random Forest ,gini,6,7,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.852,0.841,0.845,0.833,0.15052,22,2,4653,9,195247,228.01801,1.27127
Gradient Boosting,0,7,0,0,0.1,30,0,0,0,0,0.0,0,0,0.884,0.879,0.845,0.84,0.16749,22,2,4653,9,195247,228.01801,1.27127
Gradient Boosting,0,9,0,0,0.1,30,0,0,0,0,0.0,0,0,0.905,0.902,0.844,0.837,0.30671,22,2,4653,9,195247,228.01801,1.27127
Random Forest ,gini,5,5,log2,0.0,50,0,0,0,0,0.0,0,0,0.844,0.832,0.844,0.832,0.15954,22,2,4653,9,195247,228.01801,1.27127
Decision Tree,gini,5,14,,0.0,0,0,0,0,0,0.0,0,0,0.832,0.827,0.843,0.84,0.00199,22,2,4653,9,195247,228.01801,1.27127
Random Forest ,gini,7,9,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.858,0.848,0.843,0.834,0.23812,22,2,4653,9,195247,228.01801,1.27127
