model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Gradient Boosting,0,29,0,0,0.2,130,0,0,0,0,0.0,0,0,0.941,0.939,0.953,0.952,0.45785,41,2,954,7,29644,5.35415,1.13942
Decision Tree,gini,19,8,,0.0,0,0,0,0,0,0.0,0,0,0.931,0.928,0.948,0.947,0.001,41,2,954,7,29644,5.35415,1.13942
Decision Tree,gini,25,4,,0.0,0,0,0,0,0,0.0,0,0,0.94,0.938,0.942,0.944,0.00099,41,2,954,7,29644,5.35415,1.13942
Gradient Boosting,0,21,0,0,0.1,70,0,0,0,0,0.0,0,0,0.946,0.945,0.942,0.941,0.25783,41,2,954,7,29644,5.35415,1.13942
Random Forest,entropy,16,3,sqrt,0.0,230,0,0,0,0,0.0,0,0,0.942,0.941,0.937,0.936,0.32314,41,2,954,7,29644,5.35415,1.13942
Gradient Boosting,0,24,0,0,0.1,100,0,0,0,0,0.0,0,0,0.944,0.942,0.937,0.934,0.34104,41,2,954,7,29644,5.35415,1.13942
Decision Tree,entropy,11,3,auto,0.0,0,0,0,0,0,0.0,0,0,0.934,0.933,0.937,0.937,0.001,41,2,954,7,29644,5.35415,1.13942
Random Forest,entropy,16,3,log2,0.0,90,0,0,0,0,0.0,0,0,0.946,0.946,0.932,0.932,0.14162,41,2,954,7,29644,5.35415,1.13942
Decision Tree,gini,13,3,,0.0,0,0,0,0,0,0.0,0,0,0.941,0.94,0.932,0.931,0.001,41,2,954,7,29644,5.35415,1.13942
Decision Tree,gini,6,1,,0.0,0,0,0,0,0,0.0,0,0,0.891,0.886,0.927,0.922,0.00203,41,2,954,7,29644,5.35415,1.13942
Random Forest,gini,8,9,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.929,0.928,0.927,0.925,0.06981,41,2,954,7,29644,5.35415,1.13942
Gradient Boosting,0,3,0,0,0.1,120,0,0,0,0,0.0,0,0,0.916,0.915,0.927,0.927,0.1152,41,2,954,7,29644,5.35415,1.13942
Decision Tree,gini,6,9,,0.0,0,0,0,0,0,0.0,0,0,0.915,0.914,0.921,0.921,0.00203,41,2,954,7,29644,5.35415,1.13942
Random Forest,gini,25,11,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.912,0.91,0.921,0.919,0.07081,41,2,954,7,29644,5.35415,1.13942
Gradient Boosting,0,14,0,0,0.1,10,0,0,0,0,0.0,0,0,0.949,0.948,0.921,0.92,0.04726,41,2,954,7,29644,5.35415,1.13942
Random Forest,gini,7,1,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.933,0.931,0.916,0.913,0.07081,41,2,954,7,29644,5.35415,1.13942
Decision Tree,gini,5,17,,0.0,0,0,0,0,0,0.0,0,0,0.874,0.871,0.911,0.911,0.00099,41,2,954,7,29644,5.35415,1.13942
Gradient Boosting,0,8,0,0,0.1,10,0,0,0,0,0.0,0,0,0.94,0.937,0.911,0.907,0.03086,41,2,954,7,29644,5.35415,1.13942
Random Forest,gini,10,13,log2,0.0,50,0,0,0,0,0.0,0,0,0.911,0.908,0.911,0.908,0.07181,41,2,954,7,29644,5.35415,1.13942
Gradient Boosting,0,5,0,0,0.1,10,0,0,0,0,0.0,0,0,0.9,0.891,0.906,0.893,0.01561,41,2,954,7,29644,5.35415,1.13942
