model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Random Forest ,gini,21,2,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.997,0.997,0.999,0.999,0.19662,7,3,4465,242,2197973,0.06272,0.13717
Decision Tree,gini,22,2,auto,0.0,0,0,0,0,0,0.0,0,0,0.997,0.997,0.998,0.998,0.00598,7,3,4465,242,2197973,0.06272,0.13717
SVC,0,0,0,0,0.0,0,0,0,0,0,1.8,0,rbf,0.995,0.995,0.997,0.997,0.1107,7,3,4465,242,2197973,0.06272,0.13717
Random Forest ,gini,17,16,log2,0.0,50,0,0,0,0,0.0,0,0,0.994,0.994,0.997,0.997,0.13027,7,3,4465,242,2197973,0.06272,0.13717
Decision Tree,gini,12,3,,0.0,0,0,0,0,0,0.0,0,0,0.996,0.996,0.996,0.996,0.02294,7,3,4465,242,2197973,0.06272,0.13717
Random Forest ,gini,13,2,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.992,0.992,0.996,0.996,0.08143,7,3,4465,242,2197973,0.06272,0.13717
Random Forest ,gini,13,10,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.995,0.995,0.994,0.994,0.08266,7,3,4465,242,2197973,0.06272,0.13717
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,1.0,950,0,0.991,0.991,0.994,0.994,0.2489,7,3,4465,242,2197973,0.06272,0.13717
Random Forest ,gini,14,2,log2,0.0,50,0,0,0,0,0.0,0,0,0.996,0.996,0.993,0.993,0.08099,7,3,4465,242,2197973,0.06272,0.13717
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.9,1800,0,0.99,0.99,0.993,0.993,0.21352,7,3,4465,242,2197973,0.06272,0.13717
Random Forest ,gini,10,14,log2,0.0,50,0,0,0,0,0.0,0,0,0.989,0.989,0.992,0.992,0.09951,7,3,4465,242,2197973,0.06272,0.13717
SVC,0,0,0,0,0.0,0,0,0,0,0,0.9,0,poly,0.982,0.982,0.991,0.991,0.12866,7,3,4465,242,2197973,0.06272,0.13717
Decision Tree,entropy,8,2,,0.0,0,0,0,0,0,0.0,0,0,0.995,0.995,0.991,0.991,0.01893,7,3,4465,242,2197973,0.06272,0.13717
Random Forest ,gini,9,2,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.991,0.991,0.991,0.991,0.13298,7,3,4465,242,2197973,0.06272,0.13717
Decision Tree,gini,7,2,,0.0,0,0,0,0,0,0.0,0,0,0.994,0.994,0.99,0.99,0.01895,7,3,4465,242,2197973,0.06272,0.13717
SVC,0,0,0,0,0.0,0,0,0,0,0,0.9,0,linear,0.992,0.992,0.99,0.989,0.07779,7,3,4465,242,2197973,0.06272,0.13717
Random Forest ,gini,10,4,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.99,0.99,0.99,0.99,0.10575,7,3,4465,242,2197973,0.06272,0.13717
Decision Tree,gini,7,3,,0.0,0,0,0,0,0,0.0,0,0,0.993,0.993,0.989,0.989,0.01695,7,3,4465,242,2197973,0.06272,0.13717
Random Forest ,gini,9,8,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.987,0.986,0.989,0.989,0.13903,7,3,4465,242,2197973,0.06272,0.13717
Decision Tree,gini,6,5,,0.0,0,0,0,0,0,0.0,0,0,0.991,0.991,0.988,0.987,0.01596,7,3,4465,242,2197973,0.06272,0.13717
SVC,0,0,0,0,0.0,0,0,0,0,0,0.2,0,rbf,0.986,0.986,0.988,0.988,0.16256,7,3,4465,242,2197973,0.06272,0.13717
K Nearest Neighbors,0,0,0,0,0.0,0,8,chebyshev,0,0,0.0,0,0,0.996,0.996,0.988,0.988,0.01097,7,3,4465,242,2197973,0.06272,0.13717
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,1750,0,0.98,0.98,0.987,0.986,0.05396,7,3,4465,242,2197973,0.06272,0.13717
