model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Gradient Boosting,0,3,0,0,0.1,10,0,0,0,0,0.0,0,0,1.0,1.0,0.9,0.893,0.022,4,2,30000,25,3386491,19361.50347,25728.14886
Random Forest ,gini,16,11,sqrt,0.0,210,0,0,0,0,0.0,0,0,0.887,0.875,0.836,0.817,3.07018,4,2,30000,25,3386491,19361.50347,25728.14886
Random Forest ,gini,10,9,log2,0.0,90,0,0,0,0,0.0,0,0,0.851,0.833,0.835,0.815,0.99049,4,2,30000,25,3386491,19361.50347,25728.14886
Random Forest ,gini,11,3,log2,0.0,130,0,0,0,0,0.0,0,0,0.867,0.851,0.834,0.813,1.49451,4,2,30000,25,3386491,19361.50347,25728.14886
Random Forest ,gini,8,3,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.836,0.814,0.833,0.81,0.68206,4,2,30000,25,3386491,19361.50347,25728.14886
Random Forest ,gini,13,1,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.885,0.872,0.832,0.813,0.62515,4,2,30000,25,3386491,19361.50347,25728.14886
Random Forest ,gini,14,13,log2,0.0,70,0,0,0,0,0.0,0,0,0.871,0.856,0.831,0.814,0.99901,4,2,30000,25,3386491,19361.50347,25728.14886
Random Forest ,gini,15,11,log2,0.0,50,0,0,0,0,0.0,0,0,0.882,0.869,0.83,0.809,0.74642,4,2,30000,25,3386491,19361.50347,25728.14886
Random Forest ,gini,10,1,log2,0.0,50,0,0,0,0,0.0,0,0,0.855,0.837,0.829,0.808,0.57225,4,2,30000,25,3386491,19361.50347,25728.14886
Decision Tree,gini,2,7,log2,0.0,0,0,0,0,0,0.0,0,0,0.817,0.791,0.828,0.805,0.01101,4,2,30000,25,3386491,19361.50347,25728.14886
Random Forest ,gini,13,17,log2,0.0,50,0,0,0,0,0.0,0,0,0.862,0.846,0.828,0.806,0.6369,4,2,30000,25,3386491,19361.50347,25728.14886
Random Forest ,gini,7,1,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.829,0.808,0.827,0.807,0.41297,4,2,30000,25,3386491,19361.50347,25728.14886
SVC,0,0,0,0,0.0,0,0,0,0,0,1.22,0,poly,0.817,0.787,0.827,0.8,19.79105,4,2,30000,25,3386491,19361.50347,25728.14886
Random Forest ,gini,7,13,log2,0.0,50,0,0,0,0,0.0,0,0,0.828,0.806,0.826,0.803,0.46602,4,2,30000,25,3386491,19361.50347,25728.14886
Logistic Regression,0,0,0,0,0.0,0,0,0,saga,l1,1.8,450,0,0.808,0.769,0.826,0.792,3.345,4,2,30000,26,3386491,19361.50347,25728.14886
SVC,0,0,0,0,0.0,0,0,0,0,0,0.64,0,rbf,0.813,0.782,0.825,0.799,15.26716,4,2,30000,25,3386491,19361.50347,25728.14886
Decision Tree,gini,1,1,auto,0.0,0,0,0,0,0,0.0,0,0,0.818,0.792,0.824,0.801,0.00698,4,2,30000,25,3386491,19361.50347,25728.14886
Random Forest ,gini,7,5,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.83,0.808,0.823,0.801,0.47277,4,2,30000,25,3386491,19361.50347,25728.14886
SVC,0,0,0,0,0.0,0,0,0,0,0,0.84,0,poly,0.816,0.784,0.822,0.788,17.08529,4,2,30000,25,3386491,19361.50347,25728.14886
SVC,0,0,0,0,0.0,0,0,0,0,0,0.1,0,poly,0.81,0.773,0.821,0.788,12.67385,4,2,30000,25,3386491,19361.50347,25728.14886
Random Forest ,gini,6,3,log2,0.0,50,0,0,0,0,0.0,0,0,0.827,0.804,0.821,0.796,0.48065,4,2,30000,25,3386491,19361.50347,25728.14886
Decision Tree,gini,1,1,,0.0,0,0,0,0,0,0.0,0,0,0.819,0.793,0.821,0.795,0.02892,4,2,30000,25,3386491,19361.50347,25728.14886
Decision Tree,gini,1,2,,0.0,0,0,0,0,0,0.0,0,0,0.82,0.794,0.818,0.79,0.03191,4,2,30000,25,3386491,19361.50347,25728.14886
Random Forest ,gini,6,5,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.819,0.79,0.818,0.79,0.53736,4,2,30000,25,3386491,19361.50347,25728.14886
Random Forest ,gini,3,11,log2,0.0,50,0,0,0,0,0.0,0,0,0.812,0.778,0.816,0.782,0.30262,4,2,30000,25,3386491,19361.50347,25728.14886
Random Forest ,gini,4,13,log2,0.0,50,0,0,0,0,0.0,0,0,0.815,0.782,0.815,0.781,0.26346,4,2,30000,25,3386491,19361.50347,25728.14886
SVC,0,0,0,0,0.0,0,0,0,0,0,0.06,0,poly,0.809,0.772,0.815,0.778,12.33001,4,2,30000,25,3386491,19361.50347,25728.14886
Random Forest ,gini,3,7,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.807,0.769,0.814,0.779,0.31111,4,2,30000,25,3386491,19361.50347,25728.14886
K Nearest Neighbors,0,0,0,0,0.0,0,18,manhattan,0,0,0.0,0,0,0.811,0.777,0.814,0.782,0.00299,4,2,30000,25,3386491,19361.50347,25728.14886
SVC,0,0,0,0,0.0,0,0,0,0,0,0.11,0,rbf,0.807,0.77,0.814,0.779,13.99156,4,2,30000,25,3386491,19361.50347,25728.14886
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.4,350,0,0.807,0.765,0.813,0.774,0.21527,4,2,30000,26,3386491,19361.50347,25728.14886
SVC,0,0,0,0,0.0,0,0,0,0,0,0.23,0,poly,0.815,0.782,0.812,0.779,13.73923,4,2,30000,25,3386491,19361.50347,25728.14886
Decision Tree,gini,1,7,sqrt,0.0,0,0,0,0,0,0.0,0,0,0.821,0.796,0.812,0.783,0.00701,4,2,30000,25,3386491,19361.50347,25728.14886
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,600,0,0.801,0.75,0.812,0.768,0.14059,4,2,30000,26,3386491,19361.50347,25728.14886
Random Forest ,gini,4,7,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.814,0.782,0.812,0.781,0.33928,4,2,30000,25,3386491,19361.50347,25728.14886
Random Forest ,gini,3,19,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.809,0.77,0.811,0.774,0.28857,4,2,30000,25,3386491,19361.50347,25728.14886
Random Forest ,gini,6,9,log2,0.0,50,0,0,0,0,0.0,0,0,0.823,0.796,0.81,0.782,0.52466,4,2,30000,25,3386491,19361.50347,25728.14886
K Nearest Neighbors,0,0,0,0,0.0,0,17,minkowski,0,0,0.0,0,0,0.815,0.785,0.81,0.78,0.00399,4,2,30000,25,3386491,19361.50347,25728.14886
Decision Tree,entropy,1,14,,0.0,0,0,0,0,0,0.0,0,0,0.822,0.797,0.81,0.781,0.04189,4,2,30000,25,3386491,19361.50347,25728.14886
