model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Decision Tree,entropy,6,18,,0.0,0,0,0,0,0,0.0,0,0,0.961,0.959,0.974,0.973,0.03391,11,3,7999,21,840687,61.249,38.04308
Decision Tree,entropy,9,3,,0.0,0,0,0,0,0,0.0,0,0,0.979,0.979,0.972,0.971,0.03989,11,3,7999,21,840687,61.249,38.04308
Decision Tree,entropy,16,18,,0.0,0,0,0,0,0,0.0,0,0,0.984,0.984,0.971,0.97,0.04588,11,3,7999,21,840687,61.249,38.04308
Random Forest ,gini,12,3,sqrt,0.0,130,0,0,0,0,0.0,0,0,0.988,0.988,0.971,0.97,0.46347,11,3,7999,21,840687,61.249,38.04308
Random Forest ,entropy,22,11,log2,0.0,190,0,0,0,0,0.0,0,0,0.994,0.994,0.97,0.969,0.67196,11,3,7999,21,840687,61.249,38.04308
Random Forest ,gini,17,3,sqrt,0.0,70,0,0,0,0,0.0,0,0,0.999,0.999,0.969,0.967,0.27673,11,3,7999,21,840687,61.249,38.04308
Decision Tree,entropy,9,18,,0.0,0,0,0,0,0,0.0,0,0,0.975,0.974,0.969,0.967,0.04189,11,3,7999,21,840687,61.249,38.04308
Random Forest ,gini,17,11,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.989,0.989,0.968,0.966,0.20797,11,3,7999,21,840687,61.249,38.04308
Decision Tree,entropy,12,6,,0.0,0,0,0,0,0,0.0,0,0,0.982,0.981,0.968,0.966,0.04388,11,3,7999,21,840687,61.249,38.04308
Decision Tree,entropy,6,8,,0.0,0,0,0,0,0,0.0,0,0,0.964,0.964,0.967,0.966,0.03491,11,3,7999,21,840687,61.249,38.04308
Random Forest ,gini,22,9,log2,0.0,150,0,0,0,0,0.0,0,0,0.992,0.992,0.967,0.965,0.52936,11,3,7999,21,840687,61.249,38.04308
Decision Tree,entropy,7,9,,0.0,0,0,0,0,0,0.0,0,0,0.972,0.971,0.966,0.964,0.03893,11,3,7999,21,840687,61.249,38.04308
Random Forest ,gini,18,7,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.993,0.993,0.966,0.964,0.18165,11,3,7999,21,840687,61.249,38.04308
Decision Tree,entropy,7,10,,0.0,0,0,0,0,0,0.0,0,0,0.969,0.967,0.965,0.963,0.0369,11,3,7999,21,840687,61.249,38.04308
Gradient Boosting,0,7,0,0,0.1,10,0,0,0,0,0.0,0,0,0.98,0.979,0.965,0.963,1.73124,11,3,7999,21,840687,61.249,38.04308
Random Forest ,gini,11,5,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.982,0.982,0.964,0.961,0.19084,11,3,7999,21,840687,61.249,38.04308
Decision Tree,gini,8,2,,0.0,0,0,0,0,0,0.0,0,0,0.98,0.979,0.963,0.961,0.03291,11,3,7999,21,840687,61.249,38.04308
Random Forest ,gini,16,19,log2,0.0,50,0,0,0,0,0.0,0,0,0.978,0.977,0.963,0.961,0.18455,11,3,7999,21,840687,61.249,38.04308
Decision Tree,entropy,5,2,,0.0,0,0,0,0,0,0.0,0,0,0.956,0.954,0.962,0.961,0.03192,11,3,7999,21,840687,61.249,38.04308
Random Forest ,gini,20,1,sqrt,0.0,50,0,0,0,0,0.0,0,0,1.0,1.0,0.962,0.96,0.2806,11,3,7999,21,840687,61.249,38.04308
Random Forest ,gini,13,7,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.987,0.986,0.96,0.957,0.22805,11,3,7999,21,840687,61.249,38.04308
Decision Tree,entropy,6,2,,0.0,0,0,0,0,0,0.0,0,0,0.967,0.965,0.96,0.958,0.03989,11,3,7999,21,840687,61.249,38.04308
Random Forest ,gini,12,7,log2,0.0,50,0,0,0,0,0.0,0,0,0.983,0.982,0.959,0.956,0.24857,11,3,7999,21,840687,61.249,38.04308
Decision Tree,gini,4,9,,0.0,0,0,0,0,0,0.0,0,0,0.945,0.942,0.959,0.957,0.02294,11,3,7999,21,840687,61.249,38.04308
Decision Tree,gini,5,5,,0.0,0,0,0,0,0,0.0,0,0,0.955,0.953,0.958,0.957,0.02693,11,3,7999,21,840687,61.249,38.04308
Random Forest ,gini,11,3,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.985,0.984,0.958,0.955,0.21306,11,3,7999,21,840687,61.249,38.04308
Gradient Boosting,0,11,0,0,0.1,10,0,0,0,0,0.0,0,0,0.998,0.998,0.958,0.956,2.06612,11,3,7999,21,840687,61.249,38.04308
Random Forest ,gini,10,1,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.98,0.979,0.957,0.954,0.22313,11,3,7999,21,840687,61.249,38.04308
Decision Tree,gini,6,5,,0.0,0,0,0,0,0,0.0,0,0,0.96,0.958,0.957,0.954,0.03191,11,3,7999,21,840687,61.249,38.04308
Decision Tree,gini,5,1,,0.0,0,0,0,0,0,0.0,0,0,0.958,0.957,0.956,0.955,0.0249,11,3,7999,21,840687,61.249,38.04308
Gradient Boosting,0,5,0,0,0.1,10,0,0,0,0,0.0,0,0,0.963,0.961,0.956,0.953,1.17257,11,3,7999,21,840687,61.249,38.04308
Random Forest ,gini,12,9,log2,0.0,50,0,0,0,0,0.0,0,0,0.981,0.98,0.955,0.951,0.20805,11,3,7999,21,840687,61.249,38.04308
Random Forest ,gini,9,5,log2,0.0,50,0,0,0,0,0.0,0,0,0.974,0.973,0.954,0.951,0.21207,11,3,7999,21,840687,61.249,38.04308
Decision Tree,gini,5,2,,0.0,0,0,0,0,0,0.0,0,0,0.957,0.954,0.954,0.951,0.02693,11,3,7999,21,840687,61.249,38.04308
Gradient Boosting,0,15,0,0,0.1,10,0,0,0,0,0.0,0,0,1.0,1.0,0.954,0.953,1.8911,11,3,7999,21,840687,61.249,38.04308
Random Forest ,gini,8,17,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.962,0.959,0.953,0.949,0.17752,11,3,7999,21,840687,61.249,38.04308
Gradient Boosting,0,13,0,0,0.1,10,0,0,0,0,0.0,0,0,0.999,0.999,0.952,0.95,1.84469,11,3,7999,21,840687,61.249,38.04308
Random Forest ,gini,6,19,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.949,0.944,0.951,0.947,0.17351,11,3,7999,21,840687,61.249,38.04308
Decision Tree,gini,3,10,,0.0,0,0,0,0,0,0.0,0,0,0.938,0.932,0.951,0.947,0.01795,11,3,7999,21,840687,61.249,38.04308
Gradient Boosting,0,9,0,0,0.1,10,0,0,0,0,0.0,0,0,0.994,0.994,0.951,0.948,2.02264,11,3,7999,21,840687,61.249,38.04308
Decision Tree,entropy,4,18,,0.0,0,0,0,0,0,0.0,0,0,0.944,0.941,0.95,0.948,0.0249,11,3,7999,21,840687,61.249,38.04308
Decision Tree,gini,4,7,,0.0,0,0,0,0,0,0.0,0,0,0.948,0.946,0.949,0.947,0.02194,11,3,7999,21,840687,61.249,38.04308
Decision Tree,gini,4,3,,0.0,0,0,0,0,0,0.0,0,0,0.947,0.944,0.948,0.945,0.02297,11,3,7999,21,840687,61.249,38.04308
Random Forest ,gini,7,3,log2,0.0,50,0,0,0,0,0.0,0,0,0.955,0.951,0.948,0.942,0.18578,11,3,7999,21,840687,61.249,38.04308
Random Forest ,gini,7,3,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.968,0.966,0.947,0.942,0.17504,11,3,7999,21,840687,61.249,38.04308
Random Forest ,gini,5,13,log2,0.0,50,0,0,0,0,0.0,0,0,0.945,0.939,0.945,0.938,0.16552,11,3,7999,21,840687,61.249,38.04308
