model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Random Forest ,entropy,19,4,log2,0.0,90,0,0,0,0,0.0,0,0,0.984,0.984,0.802,0.803,0.14821,30,2,1340,21,120949,42.04154,21.56108
Random Forest ,entropy,12,8,log2,0.0,290,0,0,0,0,0.0,0,0,0.968,0.968,0.791,0.789,0.44975,30,2,1340,21,120949,42.04154,21.56108
Random Forest ,gini,22,12,log2,0.0,130,0,0,0,0,0.0,0,0,0.95,0.949,0.784,0.782,0.19395,30,2,1340,21,120949,42.04154,21.56108
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.2,800,0,0.684,0.674,0.784,0.769,0.0,30,2,1340,22,120949,42.04154,21.56108
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,1.0,250,0,0.689,0.682,0.78,0.776,0.0,30,2,1340,22,120949,42.04154,21.56108
Random Forest ,gini,12,16,log2,0.0,130,0,0,0,0,0.0,0,0,0.914,0.913,0.776,0.774,0.20721,30,2,1340,21,120949,42.04154,21.56108
SVC,0,0,0,0,0.0,0,0,0,0,0,1.34,0,poly,0.73,0.729,0.772,0.776,0.04199,30,2,1340,21,120949,42.04154,21.56108
Random Forest ,gini,25,10,sqrt,0.0,130,0,0,0,0,0.0,0,0,0.963,0.962,0.772,0.767,0.20563,30,2,1340,21,120949,42.04154,21.56108
Random Forest ,gini,18,18,log2,0.0,50,0,0,0,0,0.0,0,0,0.907,0.905,0.769,0.766,0.07617,30,2,1340,21,120949,42.04154,21.56108
Random Forest ,gini,6,18,log2,0.0,90,0,0,0,0,0.0,0,0,0.798,0.796,0.765,0.766,0.14761,30,2,1340,21,120949,42.04154,21.56108
SVC,0,0,0,0,0.0,0,0,0,0,0,0.79,0,rbf,0.711,0.704,0.765,0.749,0.0359,30,2,1340,21,120949,42.04154,21.56108
Random Forest ,gini,12,10,log2,0.0,90,0,0,0,0,0.0,0,0,0.952,0.952,0.761,0.759,0.13796,30,2,1340,21,120949,42.04154,21.56108
Random Forest ,gini,6,6,log2,0.0,90,0,0,0,0,0.0,0,0,0.822,0.818,0.757,0.749,0.14033,30,2,1340,21,120949,42.04154,21.56108
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.2,1250,0,0.686,0.679,0.757,0.75,0.0,30,2,1340,22,120949,42.04154,21.56108
Random Forest ,gini,2,16,log2,0.0,50,0,0,0,0,0.0,0,0,0.704,0.696,0.754,0.746,0.06534,30,2,1340,21,120949,42.04154,21.56108
SVC,0,0,0,0,0.0,0,0,0,0,0,0.07,0,poly,0.685,0.686,0.754,0.756,0.02862,30,2,1340,21,120949,42.04154,21.56108
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.3,100,0,0.693,0.681,0.75,0.745,0.01562,30,2,1340,22,120949,42.04154,21.56108
Random Forest ,gini,5,2,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.769,0.764,0.75,0.746,0.06734,30,2,1340,21,120949,42.04154,21.56108
SVC,0,0,0,0,0.0,0,0,0,0,0,0.91,0,rbf,0.721,0.716,0.75,0.746,0.03694,30,2,1340,21,120949,42.04154,21.56108
Random Forest ,gini,24,14,log2,0.0,50,0,0,0,0,0.0,0,0,0.925,0.925,0.746,0.74,0.07544,30,2,1340,21,120949,42.04154,21.56108
