model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Random Forest,entropy,24,3,log2,0.0,190,0,0,0,0,0.0,0,0,1.0,1.0,0.84,0.841,3.35296,1,2,55692,27,6373622,1078.1662,608.67035
SVC,0,0,0,0,0.0,0,0,0,0,0,0.57,0,linear,0.895,0.894,0.835,0.832,0.09502,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,23,1,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.999,0.999,0.833,0.834,1.10804,1,2,55692,27,6373622,1078.1662,608.67035
SVC,0,0,0,0,0.0,0,0,0,0,0,0.01,0,linear,0.831,0.828,0.83,0.826,0.29159,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,21,1,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.997,0.997,0.829,0.83,1.07413,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,20,1,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.995,0.995,0.828,0.829,1.01429,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,22,1,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.998,0.998,0.827,0.828,1.06116,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,20,3,log2,0.0,50,0,0,0,0,0.0,0,0,0.992,0.992,0.826,0.827,0.8228,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,19,3,log2,0.0,50,0,0,0,0,0.0,0,0,0.988,0.988,0.825,0.826,0.79886,1,2,55692,27,6373622,1078.1662,608.67035
SVC,0,0,0,0,0.0,0,0,0,0,0,0.02,0,linear,0.858,0.856,0.825,0.82,0.06802,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,18,3,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.98,0.98,0.824,0.825,0.91555,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,17,1,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.972,0.972,0.823,0.824,0.89461,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,20,1,log2,0.0,50,0,0,0,0,0.0,0,0,0.994,0.994,0.822,0.823,0.82779,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,19,1,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.99,0.99,0.821,0.822,0.99135,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,18,5,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.975,0.975,0.819,0.82,1.04421,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,18,1,log2,0.0,50,0,0,0,0,0.0,0,0,0.983,0.983,0.818,0.818,0.7859,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,20,15,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.957,0.957,0.817,0.818,0.92253,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,19,11,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.962,0.962,0.816,0.817,0.95545,1,2,55692,27,6373622,1078.1662,608.67035
SVC,0,0,0,0,0.0,0,0,0,0,0,0.05,0,linear,0.866,0.865,0.815,0.81,0.15404,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,19,11,log2,0.0,50,0,0,0,0,0.0,0,0,0.96,0.96,0.815,0.816,0.75398,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,17,3,log2,0.0,50,0,0,0,0,0.0,0,0,0.97,0.97,0.814,0.815,0.75299,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,17,1,log2,0.0,50,0,0,0,0,0.0,0,0,0.973,0.973,0.813,0.814,0.77692,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,15,1,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.942,0.943,0.812,0.814,0.82878,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,16,5,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.947,0.948,0.811,0.813,0.84275,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,17,5,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.965,0.965,0.81,0.811,0.87965,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,15,1,log2,0.0,50,0,0,0,0,0.0,0,0,0.938,0.938,0.808,0.809,0.71309,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,18,13,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.949,0.949,0.807,0.809,0.88763,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,15,3,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.939,0.939,0.806,0.807,0.83078,1,2,55692,27,6373622,1078.1662,608.67035
SVC,0,0,0,0,0.0,0,0,0,0,0,0.04,0,linear,0.862,0.861,0.805,0.801,0.07702,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,15,3,log2,0.0,50,0,0,0,0,0.0,0,0,0.936,0.936,0.805,0.806,0.7101,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,14,1,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.923,0.923,0.803,0.804,0.74601,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,16,9,log2,0.0,50,0,0,0,0,0.0,0,0,0.937,0.937,0.802,0.804,0.69414,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,15,7,log2,0.0,50,0,0,0,0,0.0,0,0,0.922,0.922,0.8,0.802,0.74501,1,2,55692,27,6373622,1078.1662,608.67035
Gradient Boosting,0,3,0,0,0.1,10,0,0,0,0,0.0,0,0,1.0,1.0,0.8,0.754,0.02196,1,2,55692,27,6373622,1078.1662,608.67035
Random Forest,gini,14,3,log2,0.0,50,0,0,0,0,0.0,0,0,0.915,0.915,0.799,0.8,0.64827,1,2,55692,27,6373622,1078.1662,608.67035
