model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Random Forest ,gini,20,12,sqrt,0.0,110,0,0,0,0,0.0,0,0,0.857,0.85,0.894,0.89,0.1516,32,2,1987,10,115409,93379.29633,37743.64856
Random Forest ,entropy,10,4,log2,0.0,130,0,0,0,0,0.0,0,0,0.855,0.846,0.889,0.885,0.21044,32,2,1987,10,115409,93379.29633,37743.64856
Random Forest ,gini,15,20,log2,0.0,250,0,0,0,0,0.0,0,0,0.839,0.83,0.887,0.881,0.3303,32,2,1987,10,115409,93379.29633,37743.64856
Decision Tree,entropy,3,19,,0.0,0,0,0,0,0,0.0,0,0,0.82,0.807,0.884,0.878,0.00296,32,2,1987,10,115409,93379.29633,37743.64856
Random Forest ,gini,23,12,sqrt,0.0,90,0,0,0,0,0.0,0,0,0.85,0.841,0.882,0.878,0.12852,32,2,1987,10,115409,93379.29633,37743.64856
Random Forest ,gini,16,14,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.854,0.847,0.877,0.871,0.07592,32,2,1987,10,115409,93379.29633,37743.64856
Random Forest ,gini,14,6,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.889,0.886,0.874,0.869,0.07103,32,2,1987,10,115409,93379.29633,37743.64856
Random Forest ,gini,11,4,log2,0.0,50,0,0,0,0,0.0,0,0,0.875,0.869,0.872,0.865,0.06967,32,2,1987,10,115409,93379.29633,37743.64856
Decision Tree,entropy,4,1,sqrt,0.0,0,0,0,0,0,0.0,0,0,0.824,0.812,0.869,0.863,0.00196,32,2,1987,10,115409,93379.29633,37743.64856
Random Forest ,gini,4,2,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.827,0.816,0.869,0.862,0.06657,32,2,1987,10,115409,93379.29633,37743.64856
Random Forest ,gini,10,8,log2,0.0,50,0,0,0,0,0.0,0,0,0.846,0.837,0.867,0.861,0.07045,32,2,1987,10,115409,93379.29633,37743.64856
Decision Tree,entropy,5,6,auto,0.0,0,0,0,0,0,0.0,0,0,0.827,0.815,0.867,0.86,0.00199,32,2,1987,10,115409,93379.29633,37743.64856
Gradient Boosting,0,3,0,0,0.2,50,0,0,0,0,0.0,0,0,0.847,0.838,0.862,0.854,0.16692,32,2,1987,10,115409,93379.29633,37743.64856
Gradient Boosting,0,3,0,0,0.2,130,0,0,0,0,0.0,0,0,0.889,0.885,0.859,0.854,0.45262,32,2,1987,10,115409,93379.29633,37743.64856
Random Forest ,gini,6,2,log2,0.0,50,0,0,0,0,0.0,0,0,0.838,0.826,0.859,0.854,0.06726,32,2,1987,10,115409,93379.29633,37743.64856
Decision Tree,gini,3,6,,0.0,0,0,0,0,0,0.0,0,0,0.831,0.819,0.857,0.849,0.00202,32,2,1987,10,115409,93379.29633,37743.64856
Gradient Boosting,0,5,0,0,0.1,30,0,0,0,0,0.0,0,0,0.849,0.84,0.857,0.847,0.17173,32,2,1987,10,115409,93379.29633,37743.64856
Decision Tree,gini,3,10,sqrt,0.0,0,0,0,0,0,0.0,0,0,0.829,0.818,0.854,0.845,0.00203,32,2,1987,10,115409,93379.29633,37743.64856
Random Forest ,gini,4,16,log2,0.0,50,0,0,0,0,0.0,0,0,0.821,0.808,0.854,0.844,0.0663,32,2,1987,10,115409,93379.29633,37743.64856
Random Forest ,gini,4,14,log2,0.0,50,0,0,0,0,0.0,0,0,0.832,0.821,0.852,0.843,0.06707,32,2,1987,10,115409,93379.29633,37743.64856
Decision Tree,gini,3,12,sqrt,0.0,0,0,0,0,0,0.0,0,0,0.83,0.818,0.852,0.844,0.001,32,2,1987,10,115409,93379.29633,37743.64856
Gradient Boosting,0,3,0,0,0.1,30,0,0,0,0,0.0,0,0,0.836,0.826,0.849,0.839,0.08955,32,2,1987,10,115409,93379.29633,37743.64856
Random Forest ,gini,4,4,log2,0.0,50,0,0,0,0,0.0,0,0,0.831,0.82,0.849,0.843,0.06628,32,2,1987,10,115409,93379.29633,37743.64856
Decision Tree,gini,3,5,,0.0,0,0,0,0,0,0.0,0,0,0.833,0.823,0.847,0.834,0.002,32,2,1987,10,115409,93379.29633,37743.64856
Decision Tree,gini,3,2,,0.0,0,0,0,0,0,0.0,0,0,0.834,0.823,0.844,0.835,0.002,32,2,1987,10,115409,93379.29633,37743.64856
SVC,0,0,0,0,0.0,0,0,0,0,0,1.15,0,poly,0.796,0.779,0.844,0.835,0.06105,32,2,1987,10,115409,93379.29633,37743.64856
Random Forest ,gini,1,18,log2,0.0,50,0,0,0,0,0.0,0,0,0.776,0.751,0.844,0.828,0.06409,32,2,1987,10,115409,93379.29633,37743.64856
Random Forest ,gini,5,6,log2,0.0,50,0,0,0,0,0.0,0,0,0.836,0.824,0.842,0.834,0.06682,32,2,1987,10,115409,93379.29633,37743.64856
