model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Decision Tree,gini,17,4,,0.0,0,0,0,0,0,0.0,0,0,1.0,1.0,1.0,1.0,0.00299,31,2,2000,5,119807,10163.48375,3592.63892
Decision Tree,gini,9,3,,0.0,0,0,0,0,0,0.0,0,0,0.999,0.999,0.995,0.995,0.00199,31,2,2000,5,119807,10163.48375,3592.63892
Random Forest ,gini,8,8,log2,0.0,50,0,0,0,0,0.0,0,0,1.0,1.0,0.995,0.995,0.06834,31,2,2000,5,119807,10163.48375,3592.63892
Gradient Boosting,0,7,0,0,0.1,10,0,0,0,0,0.0,0,0,1.0,1.0,0.992,0.993,0.04586,31,2,2000,5,119807,10163.48375,3592.63892
Decision Tree,entropy,6,13,,0.0,0,0,0,0,0,0.0,0,0,0.996,0.996,0.992,0.992,0.00299,31,2,2000,5,119807,10163.48375,3592.63892
Random Forest ,gini,7,16,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.996,0.996,0.992,0.992,0.06881,31,2,2000,5,119807,10163.48375,3592.63892
Decision Tree,gini,5,13,,0.0,0,0,0,0,0,0.0,0,0,0.991,0.991,0.99,0.99,0.00199,31,2,2000,5,119807,10163.48375,3592.63892
Decision Tree,gini,6,13,,0.0,0,0,0,0,0,0.0,0,0,0.994,0.994,0.988,0.987,0.00304,31,2,2000,5,119807,10163.48375,3592.63892
Random Forest ,gini,5,14,log2,0.0,50,0,0,0,0,0.0,0,0,0.991,0.991,0.988,0.988,0.0682,31,2,2000,5,119807,10163.48375,3592.63892
Random Forest ,gini,5,6,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.99,0.99,0.985,0.985,0.06918,31,2,2000,5,119807,10163.48375,3592.63892
Decision Tree,gini,6,1,,0.0,0,0,0,0,0,0.0,0,0,0.992,0.992,0.985,0.985,0.00296,31,2,2000,5,119807,10163.48375,3592.63892
SVC,0,0,0,0,0.0,0,0,0,0,0,1.2,0,rbf,0.962,0.962,0.98,0.98,0.01492,31,2,2000,5,119807,10163.48375,3592.63892
Random Forest ,gini,5,10,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.988,0.988,0.98,0.98,0.06939,31,2,2000,5,119807,10163.48375,3592.63892
SVC,0,0,0,0,0.0,0,0,0,0,0,1.56,0,rbf,0.965,0.965,0.978,0.978,0.01493,31,2,2000,5,119807,10163.48375,3592.63892
Logistic Regression,0,0,0,0,0.0,0,0,0,saga,l1,0.8,600,0,0.939,0.937,0.978,0.977,0.01562,31,2,2000,5,119807,10163.48375,3592.63892
Random Forest ,gini,4,20,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.972,0.972,0.978,0.977,0.06612,31,2,2000,5,119807,10163.48375,3592.63892
SVC,0,0,0,0,0.0,0,0,0,0,0,1.08,0,rbf,0.964,0.963,0.975,0.975,0.01496,31,2,2000,5,119807,10163.48375,3592.63892
Random Forest ,gini,5,2,log2,0.0,50,0,0,0,0,0.0,0,0,0.994,0.994,0.975,0.975,0.07013,31,2,2000,5,119807,10163.48375,3592.63892
Gradient Boosting,0,3,0,0,0.1,30,0,0,0,0,0.0,0,0,0.994,0.994,0.975,0.975,0.13554,31,2,2000,5,119807,10163.48375,3592.63892
SVC,0,0,0,0,0.0,0,0,0,0,0,0.62,0,rbf,0.958,0.957,0.972,0.972,0.01699,31,2,2000,5,119807,10163.48375,3592.63892
Decision Tree,gini,4,3,,0.0,0,0,0,0,0,0.0,0,0,0.978,0.977,0.972,0.973,0.002,31,2,2000,5,119807,10163.48375,3592.63892
Random Forest ,gini,5,16,log2,0.0,50,0,0,0,0,0.0,0,0,0.992,0.992,0.972,0.972,0.08106,31,2,2000,5,119807,10163.48375,3592.63892
Logistic Regression,0,0,0,0,0.0,0,0,0,liblinear,l1,0.5,700,0,0.941,0.939,0.97,0.969,0.01562,31,2,2000,5,119807,10163.48375,3592.63892
K Nearest Neighbors,0,0,0,0,0.0,0,5,euclidean,0,0,0.0,0,0,0.978,0.978,0.97,0.97,0.002,31,2,2000,5,119807,10163.48375,3592.63892
SVC,0,0,0,0,0.0,0,0,0,0,0,0.47,0,rbf,0.957,0.955,0.97,0.969,0.01701,31,2,2000,5,119807,10163.48375,3592.63892
Random Forest ,gini,4,18,log2,0.0,50,0,0,0,0,0.0,0,0,0.978,0.978,0.97,0.969,0.06823,31,2,2000,5,119807,10163.48375,3592.63892
Decision Tree,gini,4,7,,0.0,0,0,0,0,0,0.0,0,0,0.982,0.982,0.968,0.968,0.00299,31,2,2000,5,119807,10163.48375,3592.63892
SVC,0,0,0,0,0.0,0,0,0,0,0,0.4,0,rbf,0.954,0.952,0.968,0.966,0.01895,31,2,2000,5,119807,10163.48375,3592.63892
K Nearest Neighbors,0,0,0,0,0.0,0,7,minkowski,0,0,0.0,0,0,0.975,0.975,0.968,0.967,0.00199,31,2,2000,5,119807,10163.48375,3592.63892
Gradient Boosting,0,5,0,0,0.1,10,0,0,0,0,0.0,0,0,0.996,0.996,0.968,0.967,0.04156,31,2,2000,5,119807,10163.48375,3592.63892
Logistic Regression,0,0,0,0,0.0,0,0,0,liblinear,l1,0.3,550,0,0.921,0.913,0.968,0.966,0.01562,31,2,2000,5,119807,10163.48375,3592.63892
Decision Tree,gini,4,1,,0.0,0,0,0,0,0,0.0,0,0,0.981,0.981,0.965,0.966,0.00199,31,2,2000,5,119807,10163.48375,3592.63892
Random Forest ,gini,3,2,log2,0.0,50,0,0,0,0,0.0,0,0,0.939,0.937,0.965,0.964,0.06716,31,2,2000,5,119807,10163.48375,3592.63892
SVC,0,0,0,0,0.0,0,0,0,0,0,0.34,0,rbf,0.953,0.951,0.965,0.963,0.01995,31,2,2000,5,119807,10163.48375,3592.63892
Logistic Regression,0,0,0,0,0.0,0,0,0,liblinear,l1,1.1,1300,0,0.942,0.94,0.965,0.964,0.01564,31,2,2000,5,119807,10163.48375,3592.63892
K Nearest Neighbors,0,0,0,0,0.0,0,5,minkowski,0,0,0.0,0,0,0.979,0.979,0.962,0.962,0.00199,31,2,2000,5,119807,10163.48375,3592.63892
Logistic Regression,0,0,0,0,0.0,0,0,0,liblinear,l1,0.5,1600,0,0.938,0.935,0.962,0.96,0.01563,31,2,2000,5,119807,10163.48375,3592.63892
Decision Tree,gini,4,6,auto,0.0,0,0,0,0,0,0.0,0,0,0.964,0.964,0.962,0.961,0.002,31,2,2000,5,119807,10163.48375,3592.63892
Random Forest ,gini,2,2,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.932,0.928,0.962,0.96,0.06785,31,2,2000,5,119807,10163.48375,3592.63892
SVC,0,0,0,0,0.0,0,0,0,0,0,0.07,0,poly,0.939,0.938,0.962,0.962,0.01695,31,2,2000,5,119807,10163.48375,3592.63892
Decision Tree,gini,4,5,,0.0,0,0,0,0,0,0.0,0,0,0.986,0.985,0.96,0.959,0.00299,31,2,2000,5,119807,10163.48375,3592.63892
SVC,0,0,0,0,0.0,0,0,0,0,0,0.05,0,poly,0.936,0.935,0.96,0.959,0.01792,31,2,2000,5,119807,10163.48375,3592.63892
K Nearest Neighbors,0,0,0,0,0.0,0,6,minkowski,0,0,0.0,0,0,0.974,0.973,0.96,0.959,0.00199,31,2,2000,5,119807,10163.48375,3592.63892
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,1.6,100,0,0.922,0.914,0.96,0.959,0.0,31,2,2000,5,119807,10163.48375,3592.63892
Random Forest ,gini,4,4,log2,0.0,50,0,0,0,0,0.0,0,0,0.968,0.967,0.958,0.956,0.07618,31,2,2000,5,119807,10163.48375,3592.63892
K Nearest Neighbors,0,0,0,0,0.0,0,5,manhattan,0,0,0.0,0,0,0.982,0.982,0.958,0.958,0.00199,31,2,2000,5,119807,10163.48375,3592.63892
Decision Tree,gini,4,2,,0.0,0,0,0,0,0,0.0,0,0,0.983,0.983,0.958,0.958,0.002,31,2,2000,5,119807,10163.48375,3592.63892
Logistic Regression,0,0,0,0,0.0,0,0,0,newton-cg,l2,1.8,550,0,0.92,0.911,0.958,0.954,0.01567,31,2,2000,5,119807,10163.48375,3592.63892
K Nearest Neighbors,0,0,0,0,0.0,0,5,chebyshev,0,0,0.0,0,0,0.966,0.965,0.955,0.954,0.00199,31,2,2000,5,119807,10163.48375,3592.63892
SVC,0,0,0,0,0.0,0,0,0,0,0,0.19,0,poly,0.948,0.948,0.955,0.955,0.01698,31,2,2000,5,119807,10163.48375,3592.63892
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,1.9,900,0,0.924,0.917,0.955,0.951,0.01562,31,2,2000,5,119807,10163.48375,3592.63892
SVC,0,0,0,0,0.0,0,0,0,0,0,0.39,0,rbf,0.956,0.954,0.952,0.95,0.01795,31,2,2000,5,119807,10163.48375,3592.63892
Gradient Boosting,0,3,0,0,0.1,10,0,0,0,0,0.0,0,0,0.966,0.964,0.952,0.95,0.03575,31,2,2000,5,119807,10163.48375,3592.63892
K Nearest Neighbors,0,0,0,0,0.0,0,8,minkowski,0,0,0.0,0,0,0.969,0.968,0.952,0.951,0.00199,31,2,2000,5,119807,10163.48375,3592.63892
SVC,0,0,0,0,0.0,0,0,0,0,0,0.11,0,poly,0.946,0.945,0.95,0.949,0.01599,31,2,2000,5,119807,10163.48375,3592.63892
