model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Gradient Boosting,0,3,0,0,0.1,10,0,0,0,0,0.0,0,0,1.0,1.0,0.9,0.856,0.02358,3,2,32561,15,3844231,12739.90078,7559.26862
Random Forest,gini,22,13,sqrt,0.0,270,0,0,0,0,0.0,0,0,0.918,0.915,0.879,0.874,1.30555,3,2,32561,15,3844231,12739.90078,7559.26862
Random Forest,gini,19,15,log2,0.0,190,0,0,0,0,0.0,0,0,0.906,0.902,0.878,0.874,0.85398,3,2,32561,15,3844231,12739.90078,7559.26862
Random Forest,gini,15,1,log2,0.0,130,0,0,0,0,0.0,0,0,0.909,0.906,0.877,0.872,0.57648,3,2,32561,15,3844231,12739.90078,7559.26862
Random Forest,gini,19,5,sqrt,0.0,130,0,0,0,0,0.0,0,0,0.928,0.926,0.876,0.871,0.62811,3,2,32561,15,3844231,12739.90078,7559.26862
Random Forest,gini,14,3,sqrt,0.0,110,0,0,0,0,0.0,0,0,0.896,0.892,0.875,0.869,0.47473,3,2,32561,15,3844231,12739.90078,7559.26862
Random Forest,gini,22,15,log2,0.0,90,0,0,0,0,0.0,0,0,0.914,0.911,0.874,0.869,0.43683,3,2,32561,15,3844231,12739.90078,7559.26862
Random Forest,gini,11,15,log2,0.0,50,0,0,0,0,0.0,0,0,0.871,0.863,0.873,0.866,0.21693,3,2,32561,15,3844231,12739.90078,7559.26862
Random Forest,gini,15,7,log2,0.0,50,0,0,0,0,0.0,0,0,0.897,0.893,0.872,0.865,0.23537,3,2,32561,15,3844231,12739.90078,7559.26862
Random Forest,gini,11,5,log2,0.0,50,0,0,0,0,0.0,0,0,0.873,0.865,0.871,0.862,0.21445,3,2,32561,15,3844231,12739.90078,7559.26862
Random Forest,gini,13,5,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.887,0.881,0.87,0.863,0.2264,3,2,32561,15,3844231,12739.90078,7559.26862
Random Forest,gini,14,7,log2,0.0,50,0,0,0,0,0.0,0,0,0.89,0.885,0.869,0.862,0.22641,3,2,32561,15,3844231,12739.90078,7559.26862
