model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Decision Tree,gini,1,3,sqrt,0.0,0,0,0,0,0,0.0,0,0,0.986,0.986,1.0,1.0,0.001,24,2,801,41,161418,25976.13602,4104.71759
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,1.0,1850,0,0.977,0.976,1.0,1.0,0.01562,24,2,801,42,161418,25976.13602,4104.71759
Random Forest ,gini,2,19,log2,0.0,50,0,0,0,0,0.0,0,0,0.988,0.987,1.0,1.0,0.13762,24,2,801,41,161418,25976.13602,4104.71759
Decision Tree,gini,1,1,,0.0,0,0,0,0,0,0.0,0,0,0.988,0.987,0.994,0.994,0.00199,24,2,801,41,161418,25976.13602,4104.71759
K Nearest Neighbors,0,0,0,0,0.0,0,12,chebyshev,0,0,0.0,0,0,0.952,0.946,0.994,0.994,0.001,24,2,801,41,161418,25976.13602,4104.71759
Gradient Boosting,0,7,0,0,0.1,10,0,0,0,0,0.0,0,0,1.0,1.0,0.994,0.994,0.05255,24,2,801,41,160616,25976.13602,4104.71759
Random Forest ,gini,2,9,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.981,0.981,0.994,0.994,0.09653,24,2,801,41,161418,25976.13602,4104.71759
SVC,0,0,0,0,0.0,0,0,0,0,0,0.3,0,linear,0.986,0.986,0.994,0.994,0.00399,24,2,801,41,161418,25976.13602,4104.71759
Gradient Boosting,0,3,0,0,0.1,10,0,0,0,0,0.0,0,0,0.998,0.998,0.988,0.987,0.04034,24,2,801,41,160616,25976.13602,4104.71759
SVC,0,0,0,0,0.0,0,0,0,0,0,0.1,0,linear,0.983,0.982,0.988,0.987,0.00399,24,2,801,41,161418,25976.13602,4104.71759
Random Forest ,gini,2,1,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.98,0.979,0.988,0.987,0.1025,24,2,801,41,161418,25976.13602,4104.71759
K Nearest Neighbors,0,0,0,0,0.0,0,6,minkowski,0,0,0.0,0,0,0.972,0.97,0.988,0.987,0.00299,24,2,801,41,161418,25976.13602,4104.71759
Decision Tree,gini,1,1,sqrt,0.0,0,0,0,0,0,0.0,0,0,0.989,0.989,0.988,0.988,0.00199,24,2,801,41,161418,25976.13602,4104.71759
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.2,750,0,0.961,0.957,0.988,0.987,0.0,24,2,801,42,161418,25976.13602,4104.71759
K Nearest Neighbors,0,0,0,0,0.0,0,5,minkowski,0,0,0.0,0,0,0.981,0.981,0.981,0.981,0.001,24,2,801,41,161418,25976.13602,4104.71759
Decision Tree,gini,1,2,,0.0,0,0,0,0,0,0.0,0,0,0.991,0.99,0.981,0.981,0.00199,24,2,801,41,161418,25976.13602,4104.71759
SVC,0,0,0,0,0.0,0,0,0,0,0,0.1,0,poly,0.995,0.995,0.981,0.981,0.00499,24,2,801,41,161418,25976.13602,4104.71759
Random Forest ,gini,2,3,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.966,0.962,0.981,0.98,0.13126,24,2,801,41,161418,25976.13602,4104.71759
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,1600,0,0.939,0.926,0.975,0.972,0.01562,24,2,801,42,161418,25976.13602,4104.71759
K Nearest Neighbors,0,0,0,0,0.0,0,7,minkowski,0,0,0.0,0,0,0.973,0.972,0.975,0.973,0.001,24,2,801,41,161418,25976.13602,4104.71759
Decision Tree,gini,1,10,,0.0,0,0,0,0,0,0.0,0,0,0.992,0.992,0.975,0.974,0.00199,24,2,801,41,161418,25976.13602,4104.71759
NaiveBayes,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.967,0.969,0.975,0.977,0.0015,24,2,801,41,160616,25976.13602,4104.71759
Random Forest ,gini,2,7,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.992,0.992,0.975,0.974,0.14456,24,2,801,41,161418,25976.13602,4104.71759
SVC,0,0,0,0,0.0,0,0,0,0,0,0.2,0,rbf,0.964,0.961,0.969,0.966,0.00499,24,2,801,41,161418,25976.13602,4104.71759
Decision Tree,gini,1,4,auto,0.0,0,0,0,0,0,0.0,0,0,0.994,0.994,0.969,0.968,0.001,24,2,801,41,161418,25976.13602,4104.71759
K Nearest Neighbors,0,0,0,0,0.0,0,6,euclidean,0,0,0.0,0,0,0.966,0.963,0.969,0.966,0.002,24,2,801,41,161418,25976.13602,4104.71759
Random Forest ,gini,1,13,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.93,0.911,0.969,0.961,0.09601,24,2,801,41,161418,25976.13602,4104.71759
K Nearest Neighbors,0,0,0,0,0.0,0,5,manhattan,0,0,0.0,0,0,0.983,0.982,0.963,0.957,0.00299,24,2,801,41,161418,25976.13602,4104.71759
SVC,0,0,0,0,0.0,0,0,0,0,0,0.4,0,poly,1.0,1.0,0.963,0.961,0.00399,24,2,801,41,161418,25976.13602,4104.71759
Decision Tree,gini,1,5,,0.0,0,0,0,0,0,0.0,0,0,0.995,0.995,0.963,0.961,0.002,24,2,801,41,161418,25976.13602,4104.71759
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,500,0,0.948,0.939,0.963,0.956,0.0,24,2,801,42,161418,25976.13602,4104.71759
K Nearest Neighbors,0,0,0,0,0.0,0,6,chebyshev,0,0,0.0,0,0,0.97,0.968,0.957,0.951,0.00099,24,2,801,41,161418,25976.13602,4104.71759
Decision Tree,gini,1,16,auto,0.0,0,0,0,0,0,0.0,0,0,0.945,0.951,0.957,0.96,0.001,24,2,801,41,161418,25976.13602,4104.71759
Random Forest ,gini,1,3,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.95,0.941,0.957,0.95,0.11151,24,2,801,41,161418,25976.13602,4104.71759
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,600,0,0.942,0.929,0.957,0.95,0.0,24,2,801,42,161418,25976.13602,4104.71759
Decision Tree,gini,1,14,auto,0.0,0,0,0,0,0,0.0,0,0,0.95,0.942,0.95,0.944,0.001,24,2,801,41,161418,25976.13602,4104.71759
K Nearest Neighbors,0,0,0,0,0.0,0,14,euclidean,0,0,0.0,0,0,0.962,0.958,0.95,0.937,0.001,24,2,801,41,161418,25976.13602,4104.71759
Random Forest ,gini,1,1,log2,0.0,50,0,0,0,0,0.0,0,0,0.947,0.936,0.95,0.94,0.10505,24,2,801,41,161418,25976.13602,4104.71759
Decision Tree,gini,1,6,log2,0.0,0,0,0,0,0,0.0,0,0,0.948,0.953,0.944,0.949,0.001,24,2,801,41,161418,25976.13602,4104.71759
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,1800,0,0.952,0.943,0.944,0.928,0.01562,24,2,801,42,161418,25976.13602,4104.71759
Random Forest ,gini,1,5,sqrt,0.0,70,0,0,0,0,0.0,0,0,0.952,0.944,0.944,0.932,0.12738,24,2,801,41,161418,25976.13602,4104.71759
K Nearest Neighbors,0,0,0,0,0.0,0,10,minkowski,0,0,0.0,0,0,0.961,0.956,0.944,0.935,0.001,24,2,801,41,161418,25976.13602,4104.71759
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,100,0,0.944,0.931,0.938,0.923,0.01562,24,2,801,42,161418,25976.13602,4104.71759
Decision Tree,gini,1,5,log2,0.0,0,0,0,0,0,0.0,0,0,0.906,0.862,0.938,0.908,0.001,24,2,801,41,161418,25976.13602,4104.71759
Random Forest ,gini,1,5,log2,0.0,50,0,0,0,0,0.0,0,0,0.925,0.9,0.938,0.917,0.1015,24,2,801,41,161418,25976.13602,4104.71759
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,350,0,0.947,0.935,0.932,0.917,0.01562,24,2,801,42,161418,25976.13602,4104.71759
Random Forest ,gini,1,5,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.928,0.907,0.932,0.899,0.09397,24,2,801,41,161418,25976.13602,4104.71759
K Nearest Neighbors,0,0,0,0,0.0,0,19,chebyshev,0,0,0.0,0,0,0.956,0.95,0.932,0.918,0.00102,24,2,801,41,161418,25976.13602,4104.71759
Decision Tree,gini,1,2,auto,0.0,0,0,0,0,0,0.0,0,0,0.955,0.948,0.932,0.919,0.001,24,2,801,41,161418,25976.13602,4104.71759
SVC,0,0,0,0,0.0,0,0,0,0,0,0.2,0,sigmoid,0.908,0.864,0.932,0.899,0.00798,24,2,801,41,161418,25976.13602,4104.71759
Random Forest ,gini,1,1,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.944,0.931,0.925,0.905,0.13012,24,2,801,41,161418,25976.13602,4104.71759
SVC,0,0,0,0,0.0,0,0,0,0,0,0.3,0,sigmoid,0.909,0.866,0.925,0.89,0.00698,24,2,801,41,161418,25976.13602,4104.71759
Decision Tree,gini,1,1,auto,0.0,0,0,0,0,0,0.0,0,0,0.909,0.866,0.925,0.89,0.00199,24,2,801,41,161418,25976.13602,4104.71759
Random Forest ,gini,1,15,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.939,0.924,0.919,0.886,0.09309,24,2,801,41,161418,25976.13602,4104.71759
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,1000,0,0.941,0.923,0.919,0.902,0.01562,24,2,801,42,161418,25976.13602,4104.71759
Decision Tree,gini,1,8,auto,0.0,0,0,0,0,0,0.0,0,0,0.911,0.868,0.919,0.881,0.001,24,2,801,41,161418,25976.13602,4104.71759
Random Forest ,gini,1,3,log2,0.0,70,0,0,0,0,0.0,0,0,0.912,0.871,0.913,0.872,0.12857,24,2,801,41,161418,25976.13602,4104.71759
Decision Tree,gini,1,4,log2,0.0,0,0,0,0,0,0.0,0,0,0.93,0.917,0.913,0.896,0.001,24,2,801,41,161418,25976.13602,4104.71759
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,250,0,0.945,0.932,0.913,0.887,0.01562,24,2,801,42,161418,25976.13602,4104.71759
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,150,0,0.95,0.939,0.907,0.879,0.0,24,2,801,42,161418,25976.13602,4104.71759
SVC,0,0,0,0,0.0,0,0,0,0,0,1.0,0,sigmoid,0.892,0.858,0.907,0.88,0.00798,24,2,801,41,161418,25976.13602,4104.71759
