model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Random Forest ,gini,20,4,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.996,0.996,0.987,0.986,0.29086,9,2,17898,9,1748117,34.6746,22.22007
Random Forest ,gini,18,6,sqrt,0.0,70,0,0,0,0,0.0,0,0,0.992,0.992,0.986,0.986,0.40569,9,2,17898,9,1748117,34.6746,22.22007
Random Forest ,gini,9,8,log2,0.0,50,0,0,0,0,0.0,0,0,0.986,0.986,0.985,0.985,0.33821,9,2,17898,9,1748117,34.6746,22.22007
Decision Tree,gini,1,20,,0.0,0,0,0,0,0,0.0,0,0,0.976,0.975,0.984,0.984,0.01295,9,2,17898,9,1748117,34.6746,22.22007
K Nearest Neighbors,0,0,0,0,0.0,0,9,chebyshev,0,0,0.0,0,0,0.979,0.978,0.984,0.984,0.02792,9,2,17898,9,1748117,34.6746,22.22007
K Nearest Neighbors,0,0,0,0,0.0,0,17,euclidean,0,0,0.0,0,0,0.978,0.977,0.983,0.982,0.02793,9,2,17898,9,1748117,34.6746,22.22007
Decision Tree,entropy,2,9,,0.0,0,0,0,0,0,0.0,0,0,0.975,0.975,0.983,0.983,0.03691,9,2,17898,9,1748117,34.6746,22.22007
Random Forest ,gini,2,4,log2,0.0,50,0,0,0,0,0.0,0,0,0.976,0.975,0.983,0.982,0.13903,9,2,17898,9,1748117,34.6746,22.22007
Logistic Regression,0,0,0,0,0.0,0,0,0,liblinear,l1,0.5,1150,0,0.976,0.975,0.982,0.981,0.39058,9,2,17898,9,1748117,34.6746,22.22007
K Nearest Neighbors,0,0,0,0,0.0,0,6,manhattan,0,0,0.0,0,0,0.98,0.979,0.981,0.981,0.02693,9,2,17898,9,1748117,34.6746,22.22007
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,1.8,1200,0,0.974,0.972,0.981,0.98,0.03124,9,2,17898,9,1748117,34.6746,22.22007
SVC,0,0,0,0,0.0,0,0,0,0,0,0.1,0,poly,0.978,0.977,0.981,0.981,0.3381,9,2,17898,9,1748117,34.6746,22.22007
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.7,1650,0,0.972,0.97,0.98,0.979,0.03124,9,2,17898,9,1748117,34.6746,22.22007
K Nearest Neighbors,0,0,0,0,0.0,0,5,euclidean,0,0,0.0,0,0,0.982,0.982,0.98,0.979,0.02693,9,2,17898,9,1748117,34.6746,22.22007
Random Forest ,gini,2,10,log2,0.0,50,0,0,0,0,0.0,0,0,0.977,0.976,0.98,0.979,0.14798,9,2,17898,9,1748117,34.6746,22.22007
Random Forest ,gini,3,10,log2,0.0,50,0,0,0,0,0.0,0,0,0.979,0.978,0.979,0.978,0.16225,9,2,17898,9,1748117,34.6746,22.22007
Decision Tree,gini,1,2,,0.0,0,0,0,0,0,0.0,0,0,0.977,0.977,0.979,0.979,0.01297,9,2,17898,9,1748117,34.6746,22.22007
K Nearest Neighbors,0,0,0,0,0.0,0,5,minkowski,0,0,0.0,0,0,0.983,0.982,0.978,0.978,0.02793,9,2,17898,9,1748117,34.6746,22.22007
SVC,0,0,0,0,0.0,0,0,0,0,0,0.4,0,linear,0.974,0.972,0.978,0.976,0.33012,9,2,17898,9,1748117,34.6746,22.22007
Decision Tree,gini,1,5,,0.0,0,0,0,0,0,0.0,0,0,0.978,0.977,0.978,0.978,0.01296,9,2,17898,9,1748117,34.6746,22.22007
Random Forest ,gini,1,4,log2,0.0,50,0,0,0,0,0.0,0,0,0.975,0.974,0.978,0.977,0.10318,9,2,17898,9,1748117,34.6746,22.22007
Random Forest ,gini,2,12,log2,0.0,50,0,0,0,0,0.0,0,0,0.978,0.977,0.977,0.976,0.13642,9,2,17898,9,1748117,34.6746,22.22007
