model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Gradient Boosting,0,3,0,0,0.1,10,0,0,0,0,0.0,0,0,1.0,1.0,0.9,0.897,0.02762,17,3,8238,13,245488,22.10889,14.14181
Random Forest ,gini,1,19,sqrt,0.0,90,0,0,0,0,0.0,0,0,0.861,0.796,0.895,0.845,0.269,17,3,8238,13,245488,22.10889,14.14181
Random Forest ,gini,24,7,sqrt,0.0,190,0,0,0,0,0.0,0,0,0.924,0.909,0.894,0.847,0.69799,17,3,8238,13,245488,22.10889,14.14181
Logistic Regression,0,0,0,0,0.0,0,0,0,saga,l1,1.2,1950,0,0.861,0.797,0.893,0.842,0.13193,17,3,8238,13,245488,22.10889,14.14181
Decision Tree,entropy,1,5,sqrt,0.0,0,0,0,0,0,0.0,0,0,0.862,0.798,0.89,0.838,0.00199,17,3,8238,13,245488,22.10889,14.14181
Random Forest ,gini,4,13,log2,0.0,150,0,0,0,0,0.0,0,0,0.862,0.798,0.89,0.838,0.505,17,3,8238,13,245488,22.10889,14.14181
Logistic Regression,0,0,0,0,0.0,0,0,0,newton-cg,l2,0.3,1150,0,0.862,0.798,0.889,0.837,0.24505,17,3,8238,13,245488,22.10889,14.14181
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,300,0,0.863,0.8,0.885,0.831,0.10755,17,3,8238,13,245488,22.10889,14.14181
SVC,0,0,0,0,0.0,0,0,0,0,0,1.0,0,linear,0.863,0.8,0.885,0.831,0.28125,17,3,8238,13,245488,22.10889,14.14181
Random Forest ,gini,4,7,log2,0.0,50,0,0,0,0,0.0,0,0,0.863,0.8,0.885,0.831,0.159,17,3,8238,13,245488,22.10889,14.14181
Decision Tree,gini,1,5,auto,0.0,0,0,0,0,0,0.0,0,0,0.863,0.8,0.885,0.831,0.00299,17,3,8238,13,245488,22.10889,14.14181
SVC,0,0,0,0,0.0,0,0,0,0,0,1.6,0,linear,0.864,0.801,0.883,0.828,0.28025,17,3,8238,13,245488,22.10889,14.14181
Random Forest ,gini,2,1,log2,0.0,50,0,0,0,0,0.0,0,0,0.864,0.801,0.882,0.827,0.122,17,3,8238,13,245488,22.10889,14.14181
