model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Decision Tree,gini,3,1,,0.0,0,0,0,0,0,0.0,0,0,1.0,1.0,1.0,1.0,0.00698,14,3,4746,21,434125,1920000000000.0,2506854200.0
SVC,0,0,0,0,0.0,0,0,0,0,0,0.8,0,rbf,0.999,0.999,1.0,1.0,0.12766,14,3,4746,21,434125,1920000000000.0,2506854200.0
Gradient Boosting,0,3,0,0,0.1,10,0,0,0,0,0.0,0,0,1.0,1.0,1.0,1.0,0.02557,14,3,4746,21,434125,1920000000000.0,2506854200.0
Random Forest ,gini,7,5,log2,0.0,50,0,0,0,0,0.0,0,0,0.999,0.999,0.999,0.999,0.13381,14,3,4746,21,434125,1916870000000.0,2506854200.0
SVC,0,0,0,0,0.0,0,0,0,0,0,1.1,0,poly,1.0,1.0,0.999,0.999,0.06034,14,3,4746,21,434125,1920000000000.0,2506854200.0
K Nearest Neighbors,0,0,0,0,0.0,0,5,chebyshev,0,0,0.0,0,0,0.998,0.998,0.999,0.999,0.00299,14,3,4746,21,434125,1920000000000.0,2506854200.0
Random Forest ,gini,7,1,log2,0.0,50,0,0,0,0,0.0,0,0,1.0,1.0,0.998,0.998,0.12651,14,3,4746,21,434125,1916870000000.0,2506854200.0
SVC,0,0,0,0,0.0,0,0,0,0,0,0.7,0,rbf,0.998,0.998,0.998,0.998,0.11669,14,3,4746,21,434125,1920000000000.0,2506854200.0
Random Forest ,gini,7,7,log2,0.0,50,0,0,0,0,0.0,0,0,0.998,0.998,0.997,0.997,0.14426,14,3,4746,21,434125,1916870000000.0,2506854200.0
K Nearest Neighbors,0,0,0,0,0.0,0,5,euclidean,0,0,0.0,0,0,0.994,0.994,0.997,0.997,0.00299,14,3,4746,21,434125,1920000000000.0,2506854200.0
Decision Tree,gini,8,1,auto,0.0,0,0,0,0,0,0.0,0,0,0.998,0.998,0.996,0.996,0.00396,14,3,4746,21,434125,1920000000000.0,2506854200.0
Decision Tree,entropy,6,20,sqrt,0.0,0,0,0,0,0,0.0,0,0,0.994,0.994,0.995,0.995,0.00299,14,3,4746,21,434125,1920000000000.0,2506854200.0
