model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Decision Tree,entropy,11,17,,0.0,0,0,0,0,0,0.0,0,0,0.925,0.922,0.905,0.901,0.05286,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,9,11,,0.0,0,0,0,0,0,0.0,0,0,0.914,0.909,0.904,0.899,0.03889,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,12,9,,0.0,0,0,0,0,0,0.0,0,0,0.935,0.932,0.903,0.9,0.04887,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,9,10,,0.0,0,0,0,0,0,0.0,0,0,0.92,0.915,0.9,0.895,0.04086,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,10,10,,0.0,0,0,0,0,0,0.0,0,0,0.918,0.913,0.898,0.892,0.04588,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,9,18,,0.0,0,0,0,0,0,0.0,0,0,0.915,0.91,0.896,0.891,0.04086,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,entropy,9,17,,0.0,0,0,0,0,0,0.0,0,0,0.904,0.898,0.894,0.888,0.04787,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,9,3,,0.0,0,0,0,0,0,0.0,0,0,0.911,0.905,0.893,0.887,0.04089,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,entropy,23,10,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.963,0.962,0.892,0.887,0.23132,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,entropy,23,6,sqrt,0.0,190,0,0,0,0,0.0,0,0,0.985,0.985,0.891,0.885,0.90316,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,8,20,,0.0,0,0,0,0,0,0.0,0,0,0.9,0.894,0.89,0.884,0.03491,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,8,6,,0.0,0,0,0,0,0,0.0,0,0,0.909,0.903,0.888,0.881,0.03391,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,entropy,19,12,log2,0.0,130,0,0,0,0,0.0,0,0,0.946,0.944,0.887,0.88,0.52228,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,9,2,,0.0,0,0,0,0,0,0.0,0,0,0.919,0.915,0.887,0.883,0.03886,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,8,1,,0.0,0,0,0,0,0,0.0,0,0,0.901,0.895,0.886,0.879,0.03391,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,23,10,log2,0.0,130,0,0,0,0,0.0,0,0,0.959,0.958,0.886,0.881,0.43549,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,8,8,,0.0,0,0,0,0,0,0.0,0,0,0.908,0.901,0.885,0.876,0.03491,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,23,10,sqrt,0.0,150,0,0,0,0,0.0,0,0,0.958,0.957,0.885,0.88,0.52128,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,9,1,,0.0,0,0,0,0,0,0.0,0,0,0.916,0.911,0.884,0.879,0.03889,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,25,2,log2,0.0,170,0,0,0,0,0.0,0,0,1.0,1.0,0.884,0.878,0.6413,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,entropy,21,2,sqrt,0.0,110,0,0,0,0,0.0,0,0,0.999,0.999,0.883,0.878,0.47633,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,18,6,log2,0.0,150,0,0,0,0,0.0,0,0,0.97,0.97,0.882,0.875,0.51261,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,8,14,,0.0,0,0,0,0,0,0.0,0,0,0.905,0.899,0.882,0.874,0.0369,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,18,14,sqrt,0.0,250,0,0,0,0,0.0,0,0,0.937,0.934,0.881,0.873,0.82401,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,entropy,8,8,,0.0,0,0,0,0,0,0.0,0,0,0.894,0.887,0.88,0.872,0.04086,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,21,12,log2,0.0,90,0,0,0,0,0.0,0,0,0.948,0.946,0.88,0.872,0.32376,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,21,10,log2,0.0,50,0,0,0,0,0.0,0,0,0.953,0.951,0.879,0.872,0.23637,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,8,13,,0.0,0,0,0,0,0,0.0,0,0,0.902,0.897,0.879,0.873,0.03591,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,entropy,8,17,,0.0,0,0,0,0,0,0.0,0,0,0.897,0.892,0.878,0.872,0.03989,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,24,18,sqrt,0.0,90,0,0,0,0,0.0,0,0,0.928,0.925,0.878,0.871,0.37721,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,19,2,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.996,0.996,0.877,0.87,0.19566,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,entropy,12,6,,0.0,0,0,0,0,0,0.0,0,0,0.937,0.935,0.877,0.873,0.05784,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,19,16,log2,0.0,50,0,0,0,0,0.0,0,0,0.931,0.929,0.876,0.868,0.17853,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,8,9,,0.0,0,0,0,0,0,0.0,0,0,0.896,0.889,0.876,0.869,0.0349,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,7,18,,0.0,0,0,0,0,0,0.0,0,0,0.871,0.86,0.875,0.866,0.03088,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,20,6,log2,0.0,50,0,0,0,0,0.0,0,0,0.976,0.975,0.875,0.867,0.18251,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,24,8,log2,0.0,50,0,0,0,0,0.0,0,0,0.969,0.968,0.874,0.867,0.1865,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,entropy,16,11,,0.0,0,0,0,0,0,0.0,0,0,0.955,0.954,0.873,0.871,0.06881,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,15,18,,0.0,0,0,0,0,0,0.0,0,0,0.943,0.942,0.872,0.87,0.05784,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,19,2,log2,0.0,50,0,0,0,0,0.0,0,0,0.995,0.995,0.872,0.865,0.18887,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,7,9,,0.0,0,0,0,0,0,0.0,0,0,0.876,0.866,0.871,0.862,0.03192,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,19,6,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.973,0.972,0.871,0.863,0.1853,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,entropy,17,1,,0.0,0,0,0,0,0,0.0,0,0,0.971,0.971,0.87,0.868,0.07081,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,18,8,log2,0.0,50,0,0,0,0,0.0,0,0,0.956,0.955,0.87,0.862,0.18105,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,8,10,,0.0,0,0,0,0,0,0.0,0,0,0.88,0.87,0.869,0.859,0.03391,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,19,12,log2,0.0,50,0,0,0,0,0.0,0,0,0.942,0.94,0.868,0.861,0.17962,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,7,8,,0.0,0,0,0,0,0,0.0,0,0,0.87,0.858,0.868,0.855,0.03192,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,15,16,log2,0.0,50,0,0,0,0,0.0,0,0,0.914,0.909,0.867,0.859,0.17283,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,7,4,,0.0,0,0,0,0,0,0.0,0,0,0.873,0.862,0.867,0.856,0.03091,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,22,10,log2,0.0,50,0,0,0,0,0.0,0,0,0.955,0.954,0.866,0.858,0.18455,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,17,6,log2,0.0,50,0,0,0,0,0.0,0,0,0.961,0.96,0.865,0.856,0.1825,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,7,1,,0.0,0,0,0,0,0,0.0,0,0,0.874,0.863,0.864,0.851,0.03191,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,17,2,log2,0.0,50,0,0,0,0,0.0,0,0,0.98,0.98,0.864,0.854,0.18843,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,15,12,log2,0.0,50,0,0,0,0,0.0,0,0,0.922,0.918,0.863,0.854,0.18935,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,6,17,,0.0,0,0,0,0,0,0.0,0,0,0.867,0.856,0.863,0.852,0.02693,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,entropy,7,3,,0.0,0,0,0,0,0,0.0,0,0,0.862,0.85,0.862,0.85,0.03391,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,5,17,,0.0,0,0,0,0,0,0.0,0,0,0.846,0.839,0.861,0.855,0.02393,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,18,6,log2,0.0,50,0,0,0,0,0.0,0,0,0.965,0.964,0.861,0.853,0.17874,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,14,4,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.933,0.93,0.86,0.85,0.18178,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,entropy,7,5,,0.0,0,0,0,0,0,0.0,0,0,0.863,0.85,0.859,0.846,0.03491,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,13,20,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.891,0.883,0.859,0.85,0.17229,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,6,5,,0.0,0,0,0,0,0,0.0,0,0,0.864,0.851,0.858,0.844,0.02693,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,15,14,log2,0.0,50,0,0,0,0,0.0,0,0,0.916,0.911,0.858,0.847,0.17648,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,12,6,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.909,0.902,0.857,0.847,0.17575,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,8,17,,0.0,0,0,0,0,0,0.0,0,0,0.881,0.871,0.857,0.846,0.03492,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,12,16,log2,0.0,50,0,0,0,0,0.0,0,0,0.894,0.887,0.856,0.842,0.16239,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,6,8,,0.0,0,0,0,0,0,0.0,0,0,0.868,0.857,0.855,0.841,0.02793,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,13,8,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.915,0.911,0.855,0.846,0.20163,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,7,13,,0.0,0,0,0,0,0,0.0,0,0,0.869,0.855,0.854,0.84,0.03288,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,12,12,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.89,0.882,0.854,0.844,0.16001,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,13,10,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.913,0.908,0.853,0.843,0.19035,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,5,1,,0.0,0,0,0,0,0,0.0,0,0,0.842,0.833,0.853,0.848,0.02493,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,10,12,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.867,0.855,0.852,0.838,0.28957,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,21,14,auto,0.0,0,0,0,0,0,0.0,0,0,0.921,0.919,0.851,0.848,0.01296,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,10,18,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.871,0.86,0.851,0.837,0.1875,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,12,18,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.889,0.881,0.85,0.837,0.15779,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,10,8,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.87,0.858,0.849,0.836,0.18052,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,entropy,7,11,,0.0,0,0,0,0,0,0.0,0,0,0.857,0.844,0.849,0.835,0.0369,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,6,3,,0.0,0,0,0,0,0,0.0,0,0,0.845,0.84,0.848,0.843,0.02792,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,11,18,log2,0.0,50,0,0,0,0,0.0,0,0,0.873,0.862,0.848,0.834,0.16336,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,10,16,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.861,0.847,0.847,0.833,0.19548,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,5,15,,0.0,0,0,0,0,0,0.0,0,0,0.85,0.843,0.846,0.839,0.02394,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,11,2,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.892,0.883,0.846,0.834,0.18067,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,10,18,log2,0.0,50,0,0,0,0,0.0,0,0,0.865,0.852,0.845,0.831,0.2385,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,5,6,,0.0,0,0,0,0,0,0.0,0,0,0.849,0.842,0.845,0.837,0.02294,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,12,20,log2,0.0,50,0,0,0,0,0.0,0,0,0.887,0.878,0.844,0.832,0.15779,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,10,4,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.874,0.862,0.843,0.827,0.16539,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,9,8,log2,0.0,50,0,0,0,0,0.0,0,0,0.86,0.847,0.842,0.827,0.16312,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,11,16,log2,0.0,50,0,0,0,0,0.0,0,0,0.878,0.869,0.841,0.826,0.16893,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,5,2,,0.0,0,0,0,0,0,0.0,0,0,0.848,0.838,0.84,0.83,0.02294,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,8,6,log2,0.0,50,0,0,0,0,0.0,0,0,0.846,0.83,0.84,0.823,0.13207,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,entropy,6,4,,0.0,0,0,0,0,0,0.0,0,0,0.84,0.836,0.839,0.836,0.03295,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,8,2,log2,0.0,50,0,0,0,0,0.0,0,0,0.849,0.832,0.839,0.823,0.12782,10,2,14635,25,1244639,4.97856,2.03138
Random Forest ,gini,9,18,log2,0.0,50,0,0,0,0,0.0,0,0,0.855,0.841,0.838,0.823,0.14104,10,2,14635,25,1244639,4.97856,2.03138
Decision Tree,gini,5,5,,0.0,0,0,0,0,0,0.0,0,0,0.851,0.844,0.837,0.829,0.02294,10,2,14635,25,1244639,4.97856,2.03138
