model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration
Decision Tree,entropy,1,15,sqrt,0,0,0,0,0,0,0,0,0,0.58,0.535,0.518,0.449,0.002
Decision Tree,entropy,1,15,log2,0,0,0,0,0,0,0,0,0,0.647,0.643,0.687,0.681,0.001
Decision Tree,entropy,1,16,nan,0,0,0,0,0,0,0,0,0,0.77,0.768,0.675,0.674,0.002
Decision Tree,entropy,1,16,sqrt,0,0,0,0,0,0,0,0,0,0.752,0.75,0.747,0.745,0.00201
Decision Tree,entropy,1,16,log2,0,0,0,0,0,0,0,0,0,0.752,0.751,0.747,0.745,0.00101
Decision Tree,entropy,1,17,nan,0,0,0,0,0,0,0,0,0,0.77,0.769,0.675,0.671,0.00151
Decision Tree,entropy,1,17,sqrt,0,0,0,0,0,0,0,0,0,0.616,0.618,0.675,0.675,0.00151
Decision Tree,entropy,1,17,log2,0,0,0,0,0,0,0,0,0,0.577,0.539,0.59,0.565,0.00151
Decision Tree,entropy,1,18,nan,0,0,0,0,0,0,0,0,0,0.74,0.741,0.735,0.737,0.001
Decision Tree,entropy,1,18,sqrt,0,0,0,0,0,0,0,0,0,0.583,0.546,0.566,0.537,0.001
Decision Tree,entropy,1,18,log2,0,0,0,0,0,0,0,0,0,0.665,0.666,0.578,0.578,0.001
Decision Tree,entropy,1,19,nan,0,0,0,0,0,0,0,0,0,0.74,0.741,0.747,0.748,0.001
Decision Tree,entropy,1,19,sqrt,0,0,0,0,0,0,0,0,0,0.65,0.65,0.639,0.64,0.00251
Decision Tree,entropy,1,19,log2,0,0,0,0,0,0,0,0,0,0.577,0.538,0.59,0.57,0.002
Decision Tree,entropy,1,20,nan,0,0,0,0,0,0,0,0,0,0.746,0.745,0.771,0.767,0.002
Decision Tree,entropy,1,20,sqrt,0,0,0,0,0,0,0,0,0,0.574,0.572,0.482,0.484,0.001
Decision Tree,entropy,1,20,log2,0,0,0,0,0,0,0,0,0,0.755,0.755,0.711,0.709,0.002
Decision Tree,gini,2,2,nan,0,0,0,0,0,0,0,0,0,0.746,0.746,0.735,0.734,0.002
Decision Tree,gini,2,2,sqrt,0,0,0,0,0,0,0,0,0,0.634,0.633,0.663,0.672,0.00202
Decision Tree,gini,2,2,log2,0,0,0,0,0,0,0,0,0,0.779,0.779,0.639,0.64,0.00251
Decision Tree,gini,2,3,nan,0,0,0,0,0,0,0,0,0,0.749,0.75,0.711,0.708,0.001
Decision Tree,gini,2,3,sqrt,0,0,0,0,0,0,0,0,0,0.604,0.507,0.446,0.329,0.002
Decision Tree,gini,2,3,log2,0,0,0,0,0,0,0,0,0,0.743,0.742,0.699,0.698,0.001
Decision Tree,gini,2,4,nan,0,0,0,0,0,0,0,0,0,0.749,0.748,0.759,0.76,0.00301
Decision Tree,gini,2,4,sqrt,0,0,0,0,0,0,0,0,0,0.767,0.765,0.663,0.661,0.0015
Decision Tree,gini,2,4,log2,0,0,0,0,0,0,0,0,0,0.665,0.665,0.627,0.627,0.002
Decision Tree,gini,2,5,nan,0,0,0,0,0,0,0,0,0,0.737,0.736,0.807,0.806,0.002
Decision Tree,gini,2,5,sqrt,0,0,0,0,0,0,0,0,0,0.68,0.681,0.602,0.602,0.002
Decision Tree,gini,2,5,log2,0,0,0,0,0,0,0,0,0,0.74,0.74,0.711,0.712,0.00201
Decision Tree,gini,2,6,nan,0,0,0,0,0,0,0,0,0,0.752,0.75,0.747,0.746,0.003
Decision Tree,gini,2,6,sqrt,0,0,0,0,0,0,0,0,0,0.749,0.748,0.783,0.782,0.00202
Decision Tree,gini,2,6,log2,0,0,0,0,0,0,0,0,0,0.767,0.767,0.711,0.71,0.002
Decision Tree,gini,2,7,nan,0,0,0,0,0,0,0,0,0,0.758,0.757,0.723,0.717,0.00501
Decision Tree,gini,2,7,sqrt,0,0,0,0,0,0,0,0,0,0.761,0.762,0.723,0.724,0.00471
Decision Tree,gini,2,7,log2,0,0,0,0,0,0,0,0,0,0.755,0.756,0.711,0.711,0.002
Decision Tree,gini,2,8,nan,0,0,0,0,0,0,0,0,0,0.749,0.746,0.759,0.759,0.00252
Decision Tree,gini,2,8,sqrt,0,0,0,0,0,0,0,0,0,0.701,0.702,0.542,0.537,0.00151
Decision Tree,gini,2,8,log2,0,0,0,0,0,0,0,0,0,0.749,0.746,0.759,0.755,0.00253
Decision Tree,gini,2,9,nan,0,0,0,0,0,0,0,0,0,0.746,0.744,0.771,0.77,0.00201
Decision Tree,gini,2,9,sqrt,0,0,0,0,0,0,0,0,0,0.779,0.78,0.59,0.596,0.00251
Decision Tree,gini,2,9,log2,0,0,0,0,0,0,0,0,0,0.758,0.758,0.723,0.712,0.002
Decision Tree,gini,2,10,nan,0,0,0,0,0,0,0,0,0,0.767,0.768,0.614,0.615,0.00251
Decision Tree,gini,2,10,sqrt,0,0,0,0,0,0,0,0,0,0.65,0.651,0.675,0.674,0.00302
Decision Tree,gini,2,10,log2,0,0,0,0,0,0,0,0,0,0.737,0.738,0.759,0.761,0.00252
Decision Tree,gini,2,11,nan,0,0,0,0,0,0,0,0,0,0.761,0.762,0.663,0.663,0.002
Decision Tree,gini,2,11,sqrt,0,0,0,0,0,0,0,0,0,0.755,0.753,0.723,0.725,0.003
Decision Tree,gini,2,11,log2,0,0,0,0,0,0,0,0,0,0.758,0.755,0.735,0.727,0.002
Decision Tree,gini,2,12,nan,0,0,0,0,0,0,0,0,0,0.77,0.77,0.651,0.647,0.005
Decision Tree,gini,2,12,sqrt,0,0,0,0,0,0,0,0,0,0.707,0.706,0.614,0.606,0.001
Decision Tree,gini,2,12,log2,0,0,0,0,0,0,0,0,0,0.743,0.74,0.723,0.717,0.001
Decision Tree,gini,2,13,nan,0,0,0,0,0,0,0,0,0,0.752,0.745,0.699,0.692,0.002
Decision Tree,gini,2,13,sqrt,0,0,0,0,0,0,0,0,0,0.755,0.756,0.771,0.771,0.002
Decision Tree,gini,2,13,log2,0,0,0,0,0,0,0,0,0,0.64,0.641,0.614,0.616,0.001
Decision Tree,gini,2,14,nan,0,0,0,0,0,0,0,0,0,0.749,0.747,0.566,0.549,0.002
Decision Tree,gini,2,14,sqrt,0,0,0,0,0,0,0,0,0,0.68,0.68,0.687,0.683,0.00253
Decision Tree,gini,2,14,log2,0,0,0,0,0,0,0,0,0,0.668,0.659,0.627,0.624,0.00401
Decision Tree,gini,2,15,nan,0,0,0,0,0,0,0,0,0,0.764,0.762,0.699,0.699,0.002
Decision Tree,gini,2,15,sqrt,0,0,0,0,0,0,0,0,0,0.64,0.64,0.627,0.63,0.00101
Decision Tree,gini,2,15,log2,0,0,0,0,0,0,0,0,0,0.631,0.607,0.566,0.545,0.003
Decision Tree,gini,2,16,nan,0,0,0,0,0,0,0,0,0,0.773,0.771,0.663,0.662,0.00355
Decision Tree,gini,2,16,sqrt,0,0,0,0,0,0,0,0,0,0.653,0.642,0.602,0.607,0.001
Decision Tree,gini,2,16,log2,0,0,0,0,0,0,0,0,0,0.668,0.669,0.614,0.614,0.002
Decision Tree,gini,2,17,nan,0,0,0,0,0,0,0,0,0,0.767,0.768,0.639,0.638,0.00248
Decision Tree,gini,2,17,sqrt,0,0,0,0,0,0,0,0,0,0.752,0.752,0.747,0.744,0.002
Decision Tree,gini,2,17,log2,0,0,0,0,0,0,0,0,0,0.64,0.627,0.651,0.645,0.001
Decision Tree,gini,2,18,nan,0,0,0,0,0,0,0,0,0,0.725,0.725,0.807,0.811,0.00252
Decision Tree,gini,2,18,sqrt,0,0,0,0,0,0,0,0,0,0.767,0.763,0.675,0.675,0.00199
Decision Tree,gini,2,18,log2,0,0,0,0,0,0,0,0,0,0.628,0.63,0.735,0.735,0.00101
Decision Tree,gini,2,19,nan,0,0,0,0,0,0,0,0,0,0.779,0.776,0.651,0.643,0.00201
Decision Tree,gini,2,19,sqrt,0,0,0,0,0,0,0,0,0,0.647,0.646,0.639,0.636,0.0015
Decision Tree,gini,2,19,log2,0,0,0,0,0,0,0,0,0,0.665,0.664,0.578,0.578,0.002
Decision Tree,gini,2,20,nan,0,0,0,0,0,0,0,0,0,0.761,0.762,0.687,0.686,0.00151
Decision Tree,gini,2,20,sqrt,0,0,0,0,0,0,0,0,0,0.767,0.766,0.663,0.657,0.00203
Decision Tree,gini,2,20,log2,0,0,0,0,0,0,0,0,0,0.749,0.747,0.759,0.759,0.00195
Decision Tree,entropy,2,2,nan,0,0,0,0,0,0,0,0,0,0.761,0.76,0.711,0.707,0.00201
Decision Tree,entropy,2,2,sqrt,0,0,0,0,0,0,0,0,0,0.619,0.604,0.699,0.685,0.00152
Decision Tree,entropy,2,2,log2,0,0,0,0,0,0,0,0,0,0.631,0.633,0.711,0.71,0.002
Decision Tree,entropy,2,3,nan,0,0,0,0,0,0,0,0,0,0.74,0.739,0.795,0.79,0.00602
Decision Tree,entropy,2,3,sqrt,0,0,0,0,0,0,0,0,0,0.734,0.731,0.53,0.517,0.00494
Decision Tree,entropy,2,3,log2,0,0,0,0,0,0,0,0,0,0.637,0.628,0.59,0.602,0.00401
Decision Tree,entropy,2,4,nan,0,0,0,0,0,0,0,0,0,0.746,0.736,0.675,0.648,0.00399
Decision Tree,entropy,2,4,sqrt,0,0,0,0,0,0,0,0,0,0.752,0.751,0.747,0.745,0.0025
Decision Tree,entropy,2,4,log2,0,0,0,0,0,0,0,0,0,0.764,0.764,0.699,0.705,0.00195
Decision Tree,entropy,2,5,nan,0,0,0,0,0,0,0,0,0,0.74,0.739,0.795,0.793,0.00158
Decision Tree,entropy,2,5,sqrt,0,0,0,0,0,0,0,0,0,0.746,0.747,0.747,0.747,0.00096
Decision Tree,entropy,2,5,log2,0,0,0,0,0,0,0,0,0,0.752,0.749,0.747,0.747,0.002
Decision Tree,entropy,2,6,nan,0,0,0,0,0,0,0,0,0,0.761,0.762,0.675,0.674,0.001
Decision Tree,entropy,2,6,sqrt,0,0,0,0,0,0,0,0,0,0.689,0.689,0.566,0.568,0.002
Decision Tree,entropy,2,6,log2,0,0,0,0,0,0,0,0,0,0.65,0.635,0.614,0.606,0.002
Decision Tree,entropy,2,7,nan,0,0,0,0,0,0,0,0,0,0.752,0.743,0.687,0.672,0.002
Decision Tree,entropy,2,7,sqrt,0,0,0,0,0,0,0,0,0,0.695,0.668,0.687,0.665,0.00204
Decision Tree,entropy,2,7,log2,0,0,0,0,0,0,0,0,0,0.734,0.735,0.723,0.719,0.002
Decision Tree,entropy,2,8,nan,0,0,0,0,0,0,0,0,0,0.761,0.757,0.651,0.636,0.00259
Decision Tree,entropy,2,8,sqrt,0,0,0,0,0,0,0,0,0,0.634,0.636,0.602,0.602,0.00252
Decision Tree,entropy,2,8,log2,0,0,0,0,0,0,0,0,0,0.692,0.664,0.699,0.679,0.00099
Decision Tree,entropy,2,9,nan,0,0,0,0,0,0,0,0,0,0.767,0.768,0.639,0.639,0.00241
Decision Tree,entropy,2,9,sqrt,0,0,0,0,0,0,0,0,0,0.746,0.745,0.783,0.78,0.003
Decision Tree,entropy,2,9,log2,0,0,0,0,0,0,0,0,0,0.737,0.724,0.687,0.672,0.00301
Decision Tree,entropy,2,10,nan,0,0,0,0,0,0,0,0,0,0.764,0.762,0.699,0.7,0.00392
Decision Tree,entropy,2,10,sqrt,0,0,0,0,0,0,0,0,0,0.647,0.642,0.687,0.686,0.00121
Decision Tree,entropy,2,10,log2,0,0,0,0,0,0,0,0,0,0.637,0.624,0.651,0.639,0.001
Decision Tree,entropy,2,11,nan,0,0,0,0,0,0,0,0,0,0.749,0.742,0.699,0.694,0.002
Decision Tree,entropy,2,11,sqrt,0,0,0,0,0,0,0,0,0,0.719,0.706,0.602,0.574,0.002
Decision Tree,entropy,2,11,log2,0,0,0,0,0,0,0,0,0,0.65,0.634,0.602,0.592,0.002
Decision Tree,entropy,2,12,nan,0,0,0,0,0,0,0,0,0,0.758,0.751,0.663,0.658,0.006
Decision Tree,entropy,2,12,sqrt,0,0,0,0,0,0,0,0,0,0.644,0.645,0.614,0.614,0.00736
Decision Tree,entropy,2,12,log2,0,0,0,0,0,0,0,0,0,0.631,0.612,0.602,0.594,0.00556
Decision Tree,entropy,2,13,nan,0,0,0,0,0,0,0,0,0,0.734,0.734,0.771,0.779,0.002
Decision Tree,entropy,2,13,sqrt,0,0,0,0,0,0,0,0,0,0.634,0.622,0.663,0.645,0.00398
Decision Tree,entropy,2,13,log2,0,0,0,0,0,0,0,0,0,0.74,0.741,0.602,0.597,0.00558
Decision Tree,entropy,2,14,nan,0,0,0,0,0,0,0,0,0,0.758,0.758,0.675,0.681,0.0035
Decision Tree,entropy,2,14,sqrt,0,0,0,0,0,0,0,0,0,0.746,0.747,0.735,0.734,0.00353
Decision Tree,entropy,2,14,log2,0,0,0,0,0,0,0,0,0,0.644,0.644,0.663,0.664,0.00301
Decision Tree,entropy,2,15,nan,0,0,0,0,0,0,0,0,0,0.743,0.736,0.663,0.652,0.003
Decision Tree,entropy,2,15,sqrt,0,0,0,0,0,0,0,0,0,0.674,0.675,0.59,0.59,0.00254
Decision Tree,entropy,2,15,log2,0,0,0,0,0,0,0,0,0,0.653,0.638,0.602,0.582,0.00338
Decision Tree,entropy,2,16,nan,0,0,0,0,0,0,0,0,0,0.743,0.745,0.735,0.734,0.00193
Decision Tree,entropy,2,16,sqrt,0,0,0,0,0,0,0,0,0,0.692,0.686,0.699,0.696,0.001
Decision Tree,entropy,2,16,log2,0,0,0,0,0,0,0,0,0,0.767,0.768,0.687,0.688,0.00301
Decision Tree,entropy,2,17,nan,0,0,0,0,0,0,0,0,0,0.734,0.732,0.819,0.817,0.003
Decision Tree,entropy,2,17,sqrt,0,0,0,0,0,0,0,0,0,0.746,0.747,0.759,0.76,0.00437
Decision Tree,entropy,2,17,log2,0,0,0,0,0,0,0,0,0,0.683,0.653,0.735,0.72,0.002
Decision Tree,entropy,2,18,nan,0,0,0,0,0,0,0,0,0,0.758,0.758,0.675,0.682,0.0031
Decision Tree,entropy,2,18,sqrt,0,0,0,0,0,0,0,0,0,0.644,0.643,0.614,0.612,0.002
Decision Tree,entropy,2,18,log2,0,0,0,0,0,0,0,0,0,0.743,0.744,0.747,0.747,0.001
Decision Tree,entropy,2,19,nan,0,0,0,0,0,0,0,0,0,0.752,0.75,0.747,0.747,0.00201
Decision Tree,entropy,2,19,sqrt,0,0,0,0,0,0,0,0,0,0.773,0.774,0.663,0.662,0.001
Decision Tree,entropy,2,19,log2,0,0,0,0,0,0,0,0,0,0.74,0.741,0.747,0.745,0.003
Decision Tree,entropy,2,20,nan,0,0,0,0,0,0,0,0,0,0.773,0.773,0.663,0.657,0.00654
Decision Tree,entropy,2,20,sqrt,0,0,0,0,0,0,0,0,0,0.731,0.73,0.53,0.53,0.002
Decision Tree,entropy,2,20,log2,0,0,0,0,0,0,0,0,0,0.68,0.674,0.699,0.684,0.00197
Decision Tree,gini,3,2,nan,0,0,0,0,0,0,0,0,0,0.764,0.766,0.747,0.748,0.0011
Decision Tree,gini,3,2,sqrt,0,0,0,0,0,0,0,0,0,0.701,0.69,0.747,0.738,0.00151
Decision Tree,gini,3,2,log2,0,0,0,0,0,0,0,0,0,0.662,0.647,0.518,0.487,0.00454
Decision Tree,gini,3,3,nan,0,0,0,0,0,0,0,0,0,0.795,0.794,0.675,0.662,0.001
Decision Tree,gini,3,3,sqrt,0,0,0,0,0,0,0,0,0,0.752,0.752,0.711,0.709,0.003
Decision Tree,gini,3,3,log2,0,0,0,0,0,0,0,0,0,0.758,0.749,0.639,0.618,0.003
Decision Tree,gini,3,4,nan,0,0,0,0,0,0,0,0,0,0.782,0.783,0.771,0.772,0.00196
Decision Tree,gini,3,4,sqrt,0,0,0,0,0,0,0,0,0,0.752,0.749,0.771,0.765,0.002
Decision Tree,gini,3,4,log2,0,0,0,0,0,0,0,0,0,0.746,0.745,0.747,0.742,0.002
Decision Tree,gini,3,5,nan,0,0,0,0,0,0,0,0,0,0.782,0.783,0.639,0.639,0.00151
Decision Tree,gini,3,5,sqrt,0,0,0,0,0,0,0,0,0,0.758,0.757,0.747,0.742,0.002
Decision Tree,gini,3,5,log2,0,0,0,0,0,0,0,0,0,0.785,0.785,0.687,0.685,0.00201
Decision Tree,gini,3,6,nan,0,0,0,0,0,0,0,0,0,0.761,0.757,0.771,0.77,0.00361
Decision Tree,gini,3,6,sqrt,0,0,0,0,0,0,0,0,0,0.755,0.748,0.614,0.599,0.00227
Decision Tree,gini,3,6,log2,0,0,0,0,0,0,0,0,0,0.764,0.765,0.687,0.69,0.00099
Decision Tree,gini,3,7,nan,0,0,0,0,0,0,0,0,0,0.807,0.807,0.675,0.682,0.002
Decision Tree,gini,3,7,sqrt,0,0,0,0,0,0,0,0,0,0.785,0.785,0.651,0.65,0.00201
Decision Tree,gini,3,7,log2,0,0,0,0,0,0,0,0,0,0.764,0.761,0.759,0.756,0.00207
Decision Tree,gini,3,8,nan,0,0,0,0,0,0,0,0,0,0.776,0.773,0.723,0.724,0.00199
Decision Tree,gini,3,8,sqrt,0,0,0,0,0,0,0,0,0,0.716,0.705,0.687,0.678,0.00198
Decision Tree,gini,3,8,log2,0,0,0,0,0,0,0,0,0,0.731,0.729,0.602,0.607,0.002
Decision Tree,gini,3,9,nan,0,0,0,0,0,0,0,0,0,0.785,0.785,0.699,0.699,0.002
Decision Tree,gini,3,9,sqrt,0,0,0,0,0,0,0,0,0,0.785,0.785,0.651,0.649,0.002
Decision Tree,gini,3,9,log2,0,0,0,0,0,0,0,0,0,0.728,0.728,0.711,0.713,0.0035
Decision Tree,gini,3,10,nan,0,0,0,0,0,0,0,0,0,0.798,0.798,0.687,0.688,0.00352
Decision Tree,gini,3,10,sqrt,0,0,0,0,0,0,0,0,0,0.758,0.758,0.687,0.675,0.00355
Decision Tree,gini,3,10,log2,0,0,0,0,0,0,0,0,0,0.707,0.693,0.602,0.574,0.00151
Decision Tree,gini,3,11,nan,0,0,0,0,0,0,0,0,0,0.804,0.802,0.675,0.675,0.004
Decision Tree,gini,3,11,sqrt,0,0,0,0,0,0,0,0,0,0.767,0.767,0.735,0.737,0.00214
Decision Tree,gini,3,11,log2,0,0,0,0,0,0,0,0,0,0.743,0.741,0.663,0.654,0.002
Decision Tree,gini,3,12,nan,0,0,0,0,0,0,0,0,0,0.764,0.761,0.723,0.723,0.004
Decision Tree,gini,3,12,sqrt,0,0,0,0,0,0,0,0,0,0.758,0.759,0.735,0.733,0.003
Decision Tree,gini,3,12,log2,0,0,0,0,0,0,0,0,0,0.725,0.725,0.627,0.632,0.002
Decision Tree,gini,3,13,nan,0,0,0,0,0,0,0,0,0,0.785,0.785,0.699,0.699,0.002
Decision Tree,gini,3,13,sqrt,0,0,0,0,0,0,0,0,0,0.71,0.705,0.639,0.633,0.001
Decision Tree,gini,3,13,log2,0,0,0,0,0,0,0,0,0,0.683,0.683,0.639,0.634,0.002
Decision Tree,gini,3,14,nan,0,0,0,0,0,0,0,0,0,0.801,0.796,0.651,0.655,0.00395
Decision Tree,gini,3,14,sqrt,0,0,0,0,0,0,0,0,0,0.734,0.734,0.675,0.672,0.00352
Decision Tree,gini,3,14,log2,0,0,0,0,0,0,0,0,0,0.656,0.656,0.614,0.618,0.003
Decision Tree,gini,3,15,nan,0,0,0,0,0,0,0,0,0,0.798,0.797,0.663,0.663,0.004
Decision Tree,gini,3,15,sqrt,0,0,0,0,0,0,0,0,0,0.719,0.705,0.687,0.672,0.002
Decision Tree,gini,3,15,log2,0,0,0,0,0,0,0,0,0,0.692,0.688,0.554,0.554,0.00201
Decision Tree,gini,3,16,nan,0,0,0,0,0,0,0,0,0,0.764,0.763,0.735,0.729,0.002
Decision Tree,gini,3,16,sqrt,0,0,0,0,0,0,0,0,0,0.782,0.783,0.651,0.657,0.00201
Decision Tree,gini,3,16,log2,0,0,0,0,0,0,0,0,0,0.758,0.754,0.723,0.717,0.002
Decision Tree,gini,3,17,nan,0,0,0,0,0,0,0,0,0,0.776,0.777,0.675,0.675,0.002
Decision Tree,gini,3,17,sqrt,0,0,0,0,0,0,0,0,0,0.77,0.769,0.723,0.726,0.00199
Decision Tree,gini,3,17,log2,0,0,0,0,0,0,0,0,0,0.749,0.746,0.735,0.727,0.002
Decision Tree,gini,3,18,nan,0,0,0,0,0,0,0,0,0,0.77,0.771,0.711,0.716,0.002
Decision Tree,gini,3,18,sqrt,0,0,0,0,0,0,0,0,0,0.782,0.783,0.627,0.629,0.00251
Decision Tree,gini,3,18,log2,0,0,0,0,0,0,0,0,0,0.737,0.728,0.759,0.752,0.002
Decision Tree,gini,3,19,nan,0,0,0,0,0,0,0,0,0,0.798,0.795,0.639,0.637,0.002
Decision Tree,gini,3,19,sqrt,0,0,0,0,0,0,0,0,0,0.767,0.765,0.735,0.735,0.001
Decision Tree,gini,3,19,log2,0,0,0,0,0,0,0,0,0,0.764,0.765,0.699,0.702,0.00199
Decision Tree,gini,3,20,nan,0,0,0,0,0,0,0,0,0,0.785,0.786,0.627,0.63,0.001
Decision Tree,gini,3,20,sqrt,0,0,0,0,0,0,0,0,0,0.779,0.778,0.639,0.64,0.002
Decision Tree,gini,3,20,log2,0,0,0,0,0,0,0,0,0,0.758,0.756,0.747,0.748,0.00103
Decision Tree,entropy,3,2,nan,0,0,0,0,0,0,0,0,0,0.792,0.787,0.651,0.65,0.00251
Decision Tree,entropy,3,2,sqrt,0,0,0,0,0,0,0,0,0,0.746,0.748,0.747,0.744,0.00255
Decision Tree,entropy,3,2,log2,0,0,0,0,0,0,0,0,0,0.686,0.661,0.735,0.721,0.002
Decision Tree,entropy,3,3,nan,0,0,0,0,0,0,0,0,0,0.779,0.78,0.711,0.71,0.00201
Decision Tree,entropy,3,3,sqrt,0,0,0,0,0,0,0,0,0,0.776,0.775,0.699,0.698,0.001
Decision Tree,entropy,3,3,log2,0,0,0,0,0,0,0,0,0,0.731,0.715,0.699,0.681,0.002
Decision Tree,entropy,3,4,nan,0,0,0,0,0,0,0,0,0,0.789,0.784,0.663,0.659,0.00155
Decision Tree,entropy,3,4,sqrt,0,0,0,0,0,0,0,0,0,0.619,0.607,0.566,0.559,0.00155
Decision Tree,entropy,3,4,log2,0,0,0,0,0,0,0,0,0,0.71,0.709,0.747,0.748,0.002
Decision Tree,entropy,3,5,nan,0,0,0,0,0,0,0,0,0,0.752,0.753,0.795,0.794,0.00204
Decision Tree,entropy,3,5,sqrt,0,0,0,0,0,0,0,0,0,0.677,0.676,0.602,0.607,0.002
Decision Tree,entropy,3,5,log2,0,0,0,0,0,0,0,0,0,0.752,0.753,0.699,0.699,0.00204
Decision Tree,entropy,3,6,nan,0,0,0,0,0,0,0,0,0,0.776,0.774,0.723,0.722,0.00097
Decision Tree,entropy,3,6,sqrt,0,0,0,0,0,0,0,0,0,0.761,0.761,0.747,0.746,0.001
Decision Tree,entropy,3,6,log2,0,0,0,0,0,0,0,0,0,0.752,0.753,0.735,0.734,0.002
Decision Tree,entropy,3,7,nan,0,0,0,0,0,0,0,0,0,0.779,0.776,0.663,0.649,0.002
Decision Tree,entropy,3,7,sqrt,0,0,0,0,0,0,0,0,0,0.755,0.756,0.699,0.698,0.00255
Decision Tree,entropy,3,7,log2,0,0,0,0,0,0,0,0,0,0.731,0.731,0.699,0.699,0.001
Decision Tree,entropy,3,8,nan,0,0,0,0,0,0,0,0,0,0.764,0.765,0.723,0.723,0.00305
Decision Tree,entropy,3,8,sqrt,0,0,0,0,0,0,0,0,0,0.674,0.669,0.614,0.607,0.00198
Decision Tree,entropy,3,8,log2,0,0,0,0,0,0,0,0,0,0.674,0.666,0.602,0.592,0.001
Decision Tree,entropy,3,9,nan,0,0,0,0,0,0,0,0,0,0.789,0.787,0.687,0.684,0.00204
Decision Tree,entropy,3,9,sqrt,0,0,0,0,0,0,0,0,0,0.749,0.747,0.723,0.723,0.00095
Decision Tree,entropy,3,9,log2,0,0,0,0,0,0,0,0,0,0.746,0.744,0.759,0.753,0.00203
Decision Tree,entropy,3,10,nan,0,0,0,0,0,0,0,0,0,0.776,0.777,0.759,0.759,0.00208
Decision Tree,entropy,3,10,sqrt,0,0,0,0,0,0,0,0,0,0.743,0.744,0.759,0.757,0.00104
Decision Tree,entropy,3,10,log2,0,0,0,0,0,0,0,0,0,0.707,0.691,0.675,0.661,0.00205
Decision Tree,entropy,3,11,nan,0,0,0,0,0,0,0,0,0,0.776,0.773,0.723,0.721,0.00101
Decision Tree,entropy,3,11,sqrt,0,0,0,0,0,0,0,0,0,0.761,0.756,0.735,0.732,0.00167
Decision Tree,entropy,3,11,log2,0,0,0,0,0,0,0,0,0,0.755,0.753,0.747,0.748,0.001
Decision Tree,entropy,3,12,nan,0,0,0,0,0,0,0,0,0,0.779,0.78,0.711,0.713,0.00199
Decision Tree,entropy,3,12,sqrt,0,0,0,0,0,0,0,0,0,0.758,0.754,0.723,0.717,0.00104
Decision Tree,entropy,3,12,log2,0,0,0,0,0,0,0,0,0,0.716,0.712,0.699,0.699,0.002
Decision Tree,entropy,3,13,nan,0,0,0,0,0,0,0,0,0,0.755,0.754,0.687,0.68,0.002
Decision Tree,entropy,3,13,sqrt,0,0,0,0,0,0,0,0,0,0.767,0.768,0.687,0.686,0.002
Decision Tree,entropy,3,13,log2,0,0,0,0,0,0,0,0,0,0.707,0.686,0.687,0.657,0.00304
Decision Tree,entropy,3,14,nan,0,0,0,0,0,0,0,0,0,0.773,0.773,0.747,0.749,0.00204
Decision Tree,entropy,3,14,sqrt,0,0,0,0,0,0,0,0,0,0.595,0.565,0.554,0.517,0.002
Decision Tree,entropy,3,14,log2,0,0,0,0,0,0,0,0,0,0.792,0.791,0.651,0.654,0.00205
Decision Tree,entropy,3,15,nan,0,0,0,0,0,0,0,0,0,0.764,0.764,0.687,0.69,0.00201
Decision Tree,entropy,3,15,sqrt,0,0,0,0,0,0,0,0,0,0.722,0.723,0.651,0.65,0.002
Decision Tree,entropy,3,15,log2,0,0,0,0,0,0,0,0,0,0.752,0.752,0.627,0.627,0.00341
Decision Tree,entropy,3,16,nan,0,0,0,0,0,0,0,0,0,0.782,0.782,0.699,0.701,0.00201
Decision Tree,entropy,3,16,sqrt,0,0,0,0,0,0,0,0,0,0.689,0.69,0.602,0.601,0.00193
Decision Tree,entropy,3,16,log2,0,0,0,0,0,0,0,0,0,0.692,0.67,0.711,0.687,0.00252
Decision Tree,entropy,3,17,nan,0,0,0,0,0,0,0,0,0,0.767,0.766,0.747,0.741,0.003
Decision Tree,entropy,3,17,sqrt,0,0,0,0,0,0,0,0,0,0.767,0.759,0.663,0.652,0.00206
Decision Tree,entropy,3,17,log2,0,0,0,0,0,0,0,0,0,0.719,0.702,0.663,0.649,0.003
Decision Tree,entropy,3,18,nan,0,0,0,0,0,0,0,0,0,0.764,0.764,0.687,0.694,0.00152
Decision Tree,entropy,3,18,sqrt,0,0,0,0,0,0,0,0,0,0.607,0.572,0.506,0.488,0.002
Decision Tree,entropy,3,18,log2,0,0,0,0,0,0,0,0,0,0.749,0.75,0.783,0.783,0.00195
Decision Tree,entropy,3,19,nan,0,0,0,0,0,0,0,0,0,0.801,0.801,0.687,0.683,0.002
Decision Tree,entropy,3,19,sqrt,0,0,0,0,0,0,0,0,0,0.773,0.771,0.699,0.697,0.00309
Decision Tree,entropy,3,19,log2,0,0,0,0,0,0,0,0,0,0.779,0.78,0.687,0.686,0.00205
Decision Tree,entropy,3,20,nan,0,0,0,0,0,0,0,0,0,0.798,0.798,0.687,0.685,0.00701
Decision Tree,entropy,3,20,sqrt,0,0,0,0,0,0,0,0,0,0.77,0.771,0.699,0.699,0.003
Decision Tree,entropy,3,20,log2,0,0,0,0,0,0,0,0,0,0.77,0.76,0.614,0.611,0.003
